Util,APM,Network,DB,Error Handling,Logging,Lang,Data Structure,i18n,Setup,Logic,IO,UI,Parser,Event Handling,App,GIS,Multimedia,CG,corpus
1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,fix uninitialized variables
0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,1,0,1,0,prevent stereo mono effects from causing a crash
0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,openmp trackartist drawspectrum take
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,fix filedialog compilation error gtk
0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,sqlite open bugs
1,1,0,0,1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,fix cve
0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,errorreportingdialog does not support screen readers
0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,1,0,check for updates will not interrupt the timer record wait dialog
1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,0,1,0,opt out of check for updates persists after preference resets
0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,1,0,track affordances
0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,1,0,track affordances
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,same custom over aligned allocation routine on all platforms
0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,1,0,1,0,fix recording starting position refs
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,move privacy policy url to a different tab to improve its visibility
0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,fix bug
1,1,0,0,1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,sequence of audioio and networkmanager shutdowns fixes crash at exit
0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,fixes writability check for the macro output directory
0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,fix dangling pointers to project from lyricswindowcpp
0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,fix scriptables commands which broke at b
0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,install updates
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,extract lib preferences
0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,1,shift drag of clips between tracks was never allowed up to
0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,1,0,extract lib math
1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,extract lib files
0,0,0,1,1,0,0,1,0,1,1,1,1,0,1,1,0,1,0,stereo track affordance
0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,experimental qa journalling basics
0,0,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0,1,1,extract lib registries
0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,fix update on uihandle change within cell
1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,1,0,fix event types used in prefslistener singalling
