Util,Network,DB,Interpreter,i18n,Logic,Test,IO,UI,Security,corpus
1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,remove beta from setfuture relnotesremoved beta from setfuture c c ad abbbe a d e c upgrade maven gpg plugin to fixes githubcom google guava pull c a ffa a d a f e a fe clarify behavior of immutablelistcopyof for null argument f fb ba a e a feb make the incidentedges documentation a little bit more clearb a ab decf d dcd f d f simplify implementation of graphsreachablenodes b c a e c f f bc c dcebe make the adjacentnodes documentation a little bit more clear a a b a f a fa a ede delete deprecated callwithtimeout fa f c edff cd c f a decf
1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,check the array indexes in quantilesscaleandindexes is non empty fixes a ddaa d b e ed bb e be ee simplify some codefixes e def a a d aef a e f document the jdk alternative to iteratorsforenumeration fixes e be b c f abb c f ab d f d add a mime type mpeg dash mpd files fixes relnotes net added the mediatype constant for mpeg dash ccf c be b ec f ef e fix the logic that decides whether to use currentrequestthreadfactory under app enginewhile there also support thread renaming under app enginefixes to the cl in which i experimented with before backing it out bd b c f e b f e a c
1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,check the array indexes in quantilesscaleandindexes is non empty fixes a ddaa d b e ed bb e be ee simplify some codefixes e def a a d aef a e f document the jdk alternative to iteratorsforenumeration fixes e be b c f abb c f ab d f d add a mime type mpeg dash mpd files fixes relnotes net added the mediatype constant for mpeg dash ccf c be b ec f ef e fix the logic that decides whether to use currentrequestthreadfactory under app enginewhile there also support thread renaming under app enginefixes to the cl in which i experimented with before backing it out bd b c f e b f e a c
1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,check the array indexes in quantilesscaleandindexes is non empty fixes a ddaa d b e ed bb e be ee simplify some codefixes e def a a d aef a e f document the jdk alternative to iteratorsforenumeration fixes e be b c f abb c f ab d f d add a mime type mpeg dash mpd files fixes relnotes net added the mediatype constant for mpeg dash ccf c be b ec f ef e fix the logic that decides whether to use currentrequestthreadfactory under app enginewhile there also support thread renaming under app enginefixes to the cl in which i experimented with before backing it out bd b c f e b f e a c
1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,check the array indexes in quantilesscaleandindexes is non empty fixes a ddaa d b e ed bb e be ee simplify some codefixes e def a a d aef a e f document the jdk alternative to iteratorsforenumeration fixes e be b c f abb c f ab d f d add a mime type mpeg dash mpd files fixes relnotes net added the mediatype constant for mpeg dash ccf c be b ec f ef e fix the logic that decides whether to use currentrequestthreadfactory under app enginewhile there also support thread renaming under app enginefixes to the cl in which i experimented with before backing it out bd b c f e b f e a c
1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,add testlib readme b f e b e bde fd c d aade change quantiles compute methods for multiple indexes to return a map with entries in the order in which the indexes were provided in the call to indexes fixes quantiles compute methods which return a map now return a map with entries in the same order in which the indexes were provided a d ac c d ad de f d f f
1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,bump version which went out of date since the previous cl was created f a c d d ec fc a e fefa use if statement instead of for statement for a single item e e b b c dbd badd b af e upgrade maven source plugin from to fixes document the jdk alternative to moreobjectsfirstnonnull fixes https githubcom google guava pull da d b d f a e ccf fa b
1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,switch to an internal annotation for ignoring jrerequirements relnotesremoved dependency on animal sniffer annotations ce af d b a e ebaf b e d ca rename package private duration apis saturatedto os to ossaturated saturatedtomillis tomillissaturated goodtimef a ea ae ddd d fcd fe f suppress more goodtime errors e c c aa acebe bb bda de f
1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,fix tostring exception handling change from c fb cc b f b b a f cathis is not an ideal code fix but it restores the previous functionality and adds a test that verifies the exception handling logic b dfbfc f b f d a a bb e f f c handle stackoverflowerror from both pendingtostring and appenduserobjectadds a bunch of tests to validate error handling in tostring code verify that a future completing during the tostring call results in a done formatted string verify that an exception thrown by pendingtostring doesnt cause tostring to fail verify that cycles dont cause tostring to fail verify that deep chains of setfuture dont cause tostring to failrelnotescatch stackoverflowerror in abstractfuturetostring to prevent long chains of futures from failing tostring calls d d b e ad d ba a c f update documentation a d bb fc ba da b d b b
1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,refactor lambda can be replaced method reference d ab f dcb a cd a f e faa e
1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,simplify redundant collectionaddall calls ae a d c e f cef f c abd f
1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,double slicing bytesource fb b bc d d a b bb c b af
1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,double slicing bytesource fb b bc d d a b bb c b af
1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,add some unit tests for base url in baseencoding e c a e efb dd d cc f
1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,remove beta from service and servicemanager this leaves abstractlisteningexecutorservice as beta relevant to i have tweaked jesses initial pr to leave abstractexecutionthreadservicetriggershutdown and abstractservicedocancelstart as beta since we arent sure we like the locking behavior of the former and weve realized that listenerstopping _might_ be a reasonable substitute for both relnotes utilconcurrent removed beta from service and related classes d b ed a df eea eea
1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,remove beta from service and servicemanager this leaves abstractlisteningexecutorservice as beta relevant to i have tweaked jesses initial pr to leave abstractexecutionthreadservicetriggershutdown and abstractservicedocancelstart as beta since we arent sure we like the locking behavior of the former and weve realized that listenerstopping _might_ be a reasonable substitute for both relnotes utilconcurrent removed beta from service and related classes d b ed a df eea eea
1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,fix github by reimplementing cartesian{setlist}containsrelnotes d ce a a aa ba dba a
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,move comment to a more appropriate locationthe comment was added along with putcoalescing in cl a a f a a bb d a c bcbeb
1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,treerangemapsubrangemapputcoalescingthe short circuiting on an attempt to put an empty range caused the contract of putcoalescing to be violated e e abc d de ed e b cb c d a
1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,fix powersetequals when comparing to another powerset whose items are the same but in a different iteration orderrelnotes where powersetequals powerset would erroneously return false if the powersets underlying sets were equal but in a different iteration order befd ced edc a c eb a f
1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,fix powersetequals when comparing to another powerset whose items are the same but in a different iteration orderrelnotes where powersetequals powerset would erroneously return false if the powersets underlying sets were equal but in a different iteration order befd ced edc a c eb a f
1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,adds constants for cross origin embedder policy report only headers w constants for cross origin embedder policy report only headersa f e ad b b c ac cf e implement trylockuninterruptibly c d ecc c d adbcde ad f
1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,in immutableintarray use arrayscopyof when expanding the internal array bdb c a ad e cda f dc implemented lastindexof in cartesianlist da dd e bc e e a ac e e ce b f
1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,efficient unmodifiablemultimap foreachforeach can pass calls directly to the delegate protectedcollection because it is a read only operation fixes a df b beb c b d e cb b add comparatorsmin maxrelnotes collect added two element min and max methods to comparatorsfc e e ccc bf dc d discourage orderingmin e e and max e e in favor of comparatorsmin e e comparator and max e e comparator relnotesdiscourage the use of orderingmin e e and max e e bf e d f ade a ed f
1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,efficient unmodifiablemultimap foreachforeach can pass calls directly to the delegate protectedcollection because it is a read only operation fixes a df b beb c b d e cb b add comparatorsmin maxrelnotes collect added two element min and max methods to comparatorsfc e e ccc bf dc d discourage orderingmin e e and max e e in favor of comparatorsmin e e comparator and max e e comparator relnotesdiscourage the use of orderingmin e e and max e e bf e d f ade a ed f
1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,make closingfuture available in open source guava beta relnotes utilconcurrent add closingfuture e dee f d e f a fix typos and remove unnecessary words c b bde a cd f af d b e e bump checker qual from to for unfortunate reasons involving internal legacy infrastructure this is easier than merging but at least it gets us on the newest major version that makes it easier to see that its safe to resolve a conflict between say and by just using the newer onea ad ee fa fcc edc f e c ddd b d remove spurious annotation to fix travis buildf d c c c dcd e ace f
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,fix unsupportedoperationexception from treerangesetsubrangeset add ce e f cabb c d c dd aad deal with classisinstance checks which are guaranteed to be false fa f cb e d f c b be e b bf change forwardingmapremove object parameter name from object to key to match mapremove object key fixes https githubcom google guava issues cbe e aec e f b bd f
