,issueNumber,prNumber,Util,NLP,APM,Network,DB,Interpreter,Error Handling,Logging,Lang,Data Structure,DevOps,i18n,Setup,Logic,Microservices,ML,Test,Search,IO,UI,Parser,Security,Cloud,Big Data,Event Handling,App,GIS,corpus,split
2,3161,3170,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,moe sync code review submit intern feel free discuss submit follow chang necessarycommit fix grammar mistak f f c ce ae c b eb f ab open sourc guava complet skip tri discov pluggabl patterncompil implementationsit never possibl creat implement extern anyway user see problem run useless discoveri code modul systemfix serviceconfigurationerror user encount use guava jpms modul b dc e fe fcba ae c b suppress except rais argument tostr method lenient format take c e c ba c b c bd e fd f f afc creat htmlescap target peopl want avoid bulk n identifi icu je eae ba ca cd e fix b correct chang segment weight report evict comput call chang present valuerelnotesfix bug cacheasmapcomput method could caus nonsens weight store break cach evict b f ceda daec f bee f af there good news bad news good news everyon need sign cla pull request submitt commit author done everyth good bad news appear commit author co author someon pull request submitt need confirm author ok commit contribut project pleas confirm pull request note project maintain termin state mean cla googl commit status chang state confirm consent commit author merg pull request appropri,-1.6207958677649805
5,3385,3393,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,add report header remov unus import warn f ca ead cf ddae cc reformat googl java formatrelnotesn b e b f fdb b add miss overrid annot b ca c baddcf ea f b document retent listen ad guava implement listenablefuturerelnotesdocu retent listen ad guava implement listenablefutur f e b eb daf aaaf f fd reformat googl java formatrelnotesn cff bc b c e c name method paramet unus immutablesortedsetreadobject objectinputstream static analysi doesnt complain c e b e af b b remov beta api collect collector asid bloomfilt immutablerang whole class beta though remov redund beta annot collector return method clariti map asconvert immutableenummap multimapbuild stream stream iter concatio bytestream copi tobytearray charstream copi tostr file charbyt sourcesink utilconcurr futur addcallback getdon getuncheck immediatecancelledfutur immediatefailedfutur immediatefutur listeningscheduledexecutorservic uninterruptiblesoth htmlescap splittersplittolist tickerfix asid immutablerang whole class beta anyway address main concern doesnt cover broader requestfix address beta number frequent use api cb cc ed e df b b df f add known utf hash valu murmur test utf compar platform reli java intern encoding ec bcf de ac dddd fb remov canignorereturnvalu orderingsortedcopi immutablesortedcopi relnotesremov canignorereturnvalu orderingsortedcopi immutablesortedcopi da f c b e f c e f make constructor privat im look enummap stuff reason got wonder use outsid file nope b ce c ff fac b b ab af e delet wellbehavedmapth bug work around java dont believ ever present android havent look absolut first version ever gwt still old gwt file doesnt bug eitherdelet class simplifi work im around enummap usag j cl c c ab c c fb aa bf intern gwt chang ade c e c c b f autom rollback commit ade c e c c b f origin chang descript intern gwt chang f b b b fe ac b bad use j objc retainedwith annot instead weak immutablemapkeysetto prevent crash iostestedcr map insid autoreleas pool save refer thekeyset check keyset function correct outsid autoreleasepool check keyset map dealloc theautoreleas pool hold refer keyset test withboth immutablemapof immutablebimapof relnotesj objc fix crash use immutablemapkeyset c acb ed eef annot checknotnul input output nonnullw dont want go road annot thing nonnul eventu want use tool assum that default pretti weird checknotnul return nullabl valu mind tool let annot method see goesrelnotesannot checknotnul input output nonnul b e b da ec ffd document jdk altern mapsimmutableentri fix f abd b bf b f fdaa ceb modern book refer eafed e bb b e ef creat constant sourcemap headernon test like header name requir workaroundsrelnotesadd sourcemap header intern gwt changedb ada b f db b de ec ca e ab b use j objc retainedwith annot instead weak immutablemapvaluesto prevent crash iostestedcr map insid autoreleas pool save refer thevalu collect check valu collect function correctlyoutsid autoreleas pool check valu collect themap dealloc autoreleas pool hold strong referenceto valu collect test immutablemapof andimmutablemapcopyof relnotesj objc fix crash use immutablemapvalu ac f c b aab b f cb fix javadoc breakag jdk canari remov gwt emul longer need gwt relnotesremov gwt emul longer need gwt mean gwt project use version guava must use gwt higherb df cb de c f dbbff annot checknotnul input output nonnullhi curious motiv behind decis well behind part decis total agre pretti weird checknotnul return nullabl valu mind tool favor checknotnul return non null valueim unclear input consid nonnul instead nullabl mayb im misus use checknotnul fluent assert express compil cant infer nullabl know nonnul use ideal signatur would java canignorereturnvalu nonnullpubl static checknotnul nullabl ref,0.7278519453929962
6,3398,3455,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,linksth comparison android hash class havent accur sinc least cl ive remov entir dc b fa baa acf e abef migrat assertthat foo name foo assertwithmessag foo foo exact chang slight differ case like use custom subject check alway migrat name assert withmessag name removedthi cl slight modifi failur messag produc old inform still present f e c c f b bdcad c f f migrat samea sameinstanceasthey behav ident old name removedopen sourc note new method avail truth version c b fabf eeb fd c doc tweak caught jbduncan f b c c aeb b fb eab cf remov checkedfutur guavarelnotesremov deprec checkedfutur relat utilitiesca b e bad b c afbb b c migrat assertthat foo name foo assertwithmessag foo foo exact chang slight differ case like use custom subject check alway migrat name assert withmessag name removedthi cl slight modifi failur messag produc old inform still present f c e c f e cd c e,0.10502564716286548
7,3485,3495,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,remov beta setfutur relnotesremov beta setfutur c c abbb e c upgrad maven gpg plugin fix githubcom googl guava pull c ffa f e fe clarifi behavior immutablelistcopyof null argument f fb ba e feb make incidentedg document littl bit clearb ab decf dcd f f simplifi implement graphsreachablenod b c e c f f bc c dcebe make adjacentnod document littl bit clear b f fa ede delet deprec callwithtimeout fa f c edff cd c f decf,-0.4611008095486514
8,1973,3560,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fix issu inputstream return baseencodingdecodingstream reader could fail throw decodingexcept decod invalid stringthi caus default behavior inputstreamread byte int int swallow ioexcept thrown call singl byte read method first fix overrid method implement swallow exceptionsfix add clarif access mean expireafteraccess previous comment doesnt mention containskey copi changef bd e f c f bc b document hashbimapcontainsvalu tend run faster linear time overrid default document abstractmapcontainsvalu c c ca adbbef b f f bd f add note code bytesourcewrap use given byte arrayfix fix implement proper collectspliteratorsflatmapto intlongdoubl modifi exist collectspliteratorsflatmap accept null function treat empti stream like streamflatmap add test behaviorto test new method accept null intlongdoubl consum api consum api add intlongdoubl method spliteratortest test given spliteratorof intlongdoubl api e bd f e c b temporarili updat public suffix includ webappwithout develop abl set googl oauth client url firebas host webapp domain b aeaeb cab bfd bb,-1.4612475638668245
9,3577,3579,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,fix bug link actual cl c e c f ee aa fa ac simplifi break aadb f ed abe c e bcb releas resourc whenallsucce whenallcomplet input futur completerelnotesfix potenti memori leak futureswhenallsucce whenallcompletea bec b e e b e prepar remov gwt rpc support guava type ad system properti disabl itwhen time come well flip default valu user didnt see earlier warn use system properti restor support stop serial type aa ecf fd c f c c f d,-0.9526971477646937
10,1661,3618,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,export new atomiclongmapbashertest open sourc repo add lazyinit retainedwith annot lazili calcul entri field immutablesetmultimapthi field lazili evalu entri without hold lock multipl concurr call entri produc idempot result cost perform e ec f dd e aa c let listenablefutur implement thenabl via default interfac method j clthis second attempt problem e bac b c acf e b f fc b c b b c c af add test behavior describ bb e eb f c f undo test cl df fac e feee c produc tini diff commonbas commoncollect copi abstractiteratorc f e ac dda e c b add splittersplittostream c f cea ac ffabf bc c c add comment explain tabl multipli charmatcherwhitespac b cae b fd dda b cfe rollback ad splittersplittostream reason rollback guess chang somehow upset allow list ofon definit violat f efe f ed dd bd cde b rollback chang let listenablefutur implement thenabl via default interfac method j cl c e cc bcc b fe clean leftov mapmakermakecomputingmap remov makecomputingmap gwt emul deprec computationexcept b c c f e f ea see splittersplittostream ad remov plan open sourc futur see splittersplittostream ad remov plan open sourc futur reintroduc nice,1.0908580299712147
11,2677,3635,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,check array index quantilesscaleandindex non empti fix ddaa b e ed bb e ee simplifi codefix e def aef e f document jdk altern iteratorsforenumer fix e b c f abb c f ab f add mime type mpeg dash mpd file fix relnot net ad mediatyp constant mpeg dash ccf c b ec f ef e fix logic decid whether use currentrequestthreadfactori app enginewhil support thread renam app enginefix cl experi back bd b c f e b f e c non googler contribut taken prs,-1.7418057903056012
12,3210,3635,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,check array index quantilesscaleandindex non empti fix ddaa b e ed bb e ee simplifi codefix e def aef e f document jdk altern iteratorsforenumer fix e b c f abb c f ab f add mime type mpeg dash mpd file fix relnot net ad mediatyp constant mpeg dash ccf c b ec f ef e fix logic decid whether use currentrequestthreadfactori app enginewhil support thread renam app enginefix cl experi back bd b c f e b f e c non googler contribut taken prs,0.4728654418435302
14,3382,3635,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,check array index quantilesscaleandindex non empti fix ddaa b e ed bb e ee simplifi codefix e def aef e f document jdk altern iteratorsforenumer fix e b c f abb c f ab f add mime type mpeg dash mpd file fix relnot net ad mediatyp constant mpeg dash ccf c b ec f ef e fix logic decid whether use currentrequestthreadfactori app enginewhil support thread renam app enginefix cl experi back bd b c f e b f e c non googler contribut taken prs,1.4122237693662738
15,3580,3635,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,check array index quantilesscaleandindex non empti fix ddaa b e ed bb e ee simplifi codefix e def aef e f document jdk altern iteratorsforenumer fix e b c f abb c f ab f add mime type mpeg dash mpd file fix relnot net ad mediatyp constant mpeg dash ccf c b ec f ef e fix logic decid whether use currentrequestthreadfactori app enginewhil support thread renam app enginefix cl experi back bd b c f e b f e c non googler contribut taken prs,-0.04339954883089191
16,3453,3636,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,add testlib readm b f e b e bde fd c aad chang quantil comput method multipl index return map entri order index provid call index fix quantil comput method return map return map entri order index provid ac c de f f f,0.4148258177907816
17,3633,3637,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,bump version went date sinc previous cl creat f c ec fc e fefa use statement instead statement singl item e e b b c dbd badd b af e upgrad maven sourc plugin fix document jdk altern moreobjectsfirstnonnul fix githubcom googl guava pull da b f e ccf fa b,0.11457128279293739
18,3652,3654,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,switch intern annot ignor jrerequir relnotesremov depend anim sniffer annot ce af b e ebaf b e ca renam packag privat durat api saturatedto os ossatur saturatedtomilli tomillissatur goodtimef ea ae ddd fcd fe f suppress goodtim error e c c aa aceb bb bda de f,0.3518565556263047
19,3507,3677,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,fix tostr except handl chang c fb cc b f b b f cathi ideal code fix restor previous function add test verifi except handl logic b dfbfc f b f bb e f f c handl stackoverflowerror pendingtostr appenduserobjectadd bunch test valid error handl tostr code verifi futur complet tostr call result done format string verifi except thrown pendingtostr doesnt caus tostr fail verifi cycl dont caus tostr fail verifi deep chain setfutur dont caus tostr failrelnotescatch stackoverflowerror abstractfuturetostr prevent long chain futur fail tostr call b e ba c f updat document bb fc ba da b b b,1.5982843230882093
20,3565,3684,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,add suppresswarn donotmock mock comgooglecommon type donotmock ad type chang suppress warn current case type mock ed bb b ec ae b c add graphbuilderincidentedgeord c db cfae f c f f b remov usag deprec charmatch function ec c fbc c bb ff immutablegraphbuild set incidentedgeord stabl c bf ccc bb f e cdc b migrat orgmockitomatchersani orgmockitoargumentmatchersth former deprec replac latter mockito afunct differ argumentmatch reject null check typeif matcher specifi type eg class anyint willremain accept anythingal remain class refer migrat nulllabl class maintain function mockito remain anystr refer migrat nullabl stringclass maintain function mockito e e ea bb e ce edd ac c d,0.5241147055803107
