Util,NLP,APM,Network,DB,Interpreter,Logging,i18n,DevOps,Logic,Test,IO,UI,Security,App,corpus
1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,increase saving speed
1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,doaj search
1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,revise maintable
1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,revise maintable
1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,add close all others in database tab menu
1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,prototype for new entrytype interface
1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,fixed acm fetcher works again
1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,introduce save actions
1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,improve database writer
1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,removed preference setting
1,0,0,1,0,1,1,0,0,1,1,1,1,0,0,fix npe at saving does not reset save flag
1,0,0,0,0,1,1,1,0,1,1,1,1,0,0,add dialog to show all preferences in their raw form plus some filtering
1,0,0,1,0,1,1,1,0,1,1,1,1,0,0,fixing openoffice citation with curly braces and manual connection browsing
1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,add ability to run arbitrary formatters as cleanup actions
1,0,0,0,0,0,1,0,0,1,1,1,0,0,1,rename pdf cleanup now also changes case of file name
1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,add button in preference dialog to reset preferences
1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,key bindings are now working in preview panel
1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,db properties layout and save order config changed
1,0,0,1,0,0,1,1,0,1,0,1,1,0,0,implemented
0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,fix sorting of entries on save
1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,fixes npe in export to external db
1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,fixed
1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,npe when sorting tabs
1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,add fields for nbibimporter and add testfile
1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,export to html html code is not well formed
1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,show description of case converters as tooltip
1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,create update checker for the enduser
1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,rewrite medlineimporter with jaxb and add nbib fields
0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,implement getextension and getdescription for importers
1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,keywords are now separated by the delimiter specified in the preferences
1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,implement
1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,move event
1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,move preferences
1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,use jabref default icon for uninstaller for now
1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,removed seiten from pagetotal and fixed a totally unrelated npe
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,fixed name column rendering and
1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,allow setting the etal string empty implements
1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,allow setting the etal string empty implements
1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,fixed npe when loading a style file that has no default style
1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,do not mark a new database as changed
1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,fix invalid bibtexkey freeze
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,implemented title and camel key modifiers
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,check integrity year check added
1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,towards hierarchical keywords
1,0,0,1,0,1,1,0,0,1,1,1,1,1,1,fix wrong path in error message
1,0,0,1,0,0,1,1,0,1,0,1,1,0,0,icon does not change when toggling global search
1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,check avaiable help lanugages when opening specific help page
1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,disable context menu action on selection of multiple entries
1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,fix ris import
1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,added new menu and action to copy bibtex key as url
1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,other fields fix and changes
1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,fix codecov issue
1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,fix group drag and drop
1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,fix group drag and drop
0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,fix highlighting issues
1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,improvements to the javafx error console
1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,fix editor freeze
1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,fix for reenable ads fetcher
1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,change log level to debug
1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,when an isbn is not available on ebookde the error message is more clear
1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,copy file attributes
1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,improve entrytype customization
1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,improve entrytype customization
1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,improve entrytype customization
1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,fix a few group related issues
1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,never manually set id of a bibentry
1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,introduce explicit list of all_biblatex_only_fields
1,0,0,1,0,0,1,0,0,1,1,1,1,0,1,doi no longer contains url
1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,fix repeated escaping of sign
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,switch to latex unicode
1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,keyword special field synchronization
1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,finally write the new group properties to the bib file icon with color description expanded status and automatic groups
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,avoid conversion of single underscores
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,fix too may files found
1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,fix invalid folder when passed file path is empty string
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,fix entry editor
1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,adjust tests ads fetcher returns url dblp no longer works with negative operators
1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,readd context menu to linked files editor
1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,fix key combination related exceptions
1,0,0,0,0,1,1,0,0,1,1,1,1,0,1,fix closing entry editor with esc
1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,improve auto completion
1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,store changes in source tab when new entry is selected
1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,source tab doi
1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,trigger group display update when grouping changes
1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,move event processing from source tab into entry editor
1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,re add normalize to bibtex name format context menu item and menu i…
1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,increase size of file and keywords editors
1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,fix unparseable fileannotation dates
1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,followup to issue
1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,when groups are removed also remove them from entries
1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,add file description to gui and fix sync bug
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,empty string instead of n a in file annotations
1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,fix npe in maintable
1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,strip invalid prolog when loading citationstyles
1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,replace swingx with standard swing
1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,add option to remove the link when file is no longer found
1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,implement clicking the pdf icon in the linked files editor opens the file
1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,fix preview performance
1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,fix options databinding by adding elements if they are not in the initial map
