Util,NLP,APM,Network,DB,Interpreter,Logging,i18n,DevOps,Logic,Test,IO,UI,Security,App,corpus
1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,unify and simplify gui actions
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,fix sf bug
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,added conversion menu on right click in text field
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,fix latex field formatter
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,fix latex field formatter
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,fix latex field formatter
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,ieee journal abbreviations
1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,added more and better information with unsaved database
1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,add compatibility check for utf
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,proxy authentication support feature
1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,move edit mode switch to file tab
1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,revise maintable
1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,revise maintable
1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,revise maintable
1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,revise maintable
1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,use default directory when adding files to an entry
1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,show author editor and journal publisher in the main table by default
1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,database type detection
1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,database type detection
1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,write all field keys in lower case
1,0,0,0,0,1,1,1,0,1,1,1,1,0,1,implements highlighting matches works now also for regular expr…
1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,fixed cite command changes are immediately reflected in the pus…
1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,remove field saving options
1,0,0,1,0,0,1,1,0,1,0,1,1,0,0,solved and cleaned up the oo code a bit
1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,change entrytype to string in bibentry
1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,partly implemented
1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,add test for parsing accents
1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,make bibtex parser more robust against missing newlines
1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,make bibtex parser more robust against missing newlines
1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,remove url sanitizer as it is malfunctioning and unclear where needed…
