Util,NLP,APM,Network,DB,Interpreter,Logging,i18n,DevOps,Logic,Test,IO,UI,Security,App,corpus
1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,unify and simplify gui actions using lambdas for the simpler actions some code cleanup extract string commands as string constants to actionsjava and use the constants in jabrefframe basepanel and rightclickmenu use the constants already defined in keybinds to get keystrokes for the actions in jabrefframe basepanel entryeditor and rightclickmenu e ad d remove quickfix for sfnet bug and implement feature properly instead of deactivating show hide toolbar when no database is open the action has been move to jabrefframe and works now even if no database is opensee also i propose to merge the current status into master the changes described above cover the changes possible without restructuring the whole action architecture in the gui lgtm ah answered just here https githubcom matthiasgeiger jabref commit e ad d be cf f e efcaae ddfe commitcomment
1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,increase saving speed intended to this pr turned into a major api change it replaces string in the return types of bibtexentrytype with list this allows to return immutable lists instead of mutable arrays and improves the stability of the program additionally the rewrite allowed to replace a lot of duplicate object creation with instance variableswith respect to the immutability of the new lists removes the necessity to create defensive copies and therefore avoids a lot of cloning are there further improvements to be made otherwise this pr is ready to merge
1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,database type detection please see bibdatabasetypedetectionjava for reviewsome refactoring and a class for auto detection of database types algorithm should we introduce a hard coded field like encodings inside the bib file fast enough what about false detection refactoring bibtexdatabase bibdatabase bibtexentry bibentryalso see the refactorings are fine from my point of viewthe detection is based on in memory operations on collections so no need to worry about speed at the momentif i understand the algorithm correctly any database that contains a non biblatex non bibtex type will be categorized as bibtex so a database with one biblatex entry and a customn entry would be detected as bibtex is that really the desired result i would rather ignore all non bibtex non biblatex types for the decision customentry unkownentry ieeetranentry and do the decision solely on valid types with bibtex as the default result lenhard no it should always detect as biblatex if it finds one exclusive entry the algorithm looks good to me i would move the detection class into the logic package instead of model but that is your decisionstrangely the circleci test says there are still compilation errors due to the renamings as far as i can see locally all is fine
1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,remove field saving options as decided in all field saving options should be removedthis pr purges the options from the gui and cleans up related reader and formatter classes this simplification greatly reduces the complexity of bibentrywriter
1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,remove url sanitizer as it is malfunctioning and unclear where needed… also see jabref developers if someone knows a use case where this is needed and why we can try to reimplement it properly but this way it really makes no sense imho so then either urldecoderdecode or uritoasciistring converts to of course not impossible but seems like one has used the incorrect methods in that casei think the main things it does is replacing space with in the urls and removing any \url{} commands there will probably be users that will run into problems but maybe one can add a url cleanup that does the corresponding thingi think an alternative solution would just be to do a replaceall at the end the problem is that is really hard to correctly encode a url if we are not aware of its structure regardless of what methods we useso if we are not completely sure we need it we should probably not do this sounds reasonable koppor what do you think about this especially is it possible that users have a url{\url{ in their bibfile and what about escaping symbols for latex like or unsure the method comment states following make sure an url is portable in that it doesnt contain bad characters that break the open command in some oses a call to this method will also remove \url{} enclosingsthat reads perfectly fineok i also read the following fixme everything below is really flawed atmmaybe we should cleanup the url fields and not do the cleanup at the place of opening although i see the issue of malicious bib files which could have an url executing malicious code however that risk is so low that i would not count on itmeaning and open a new issue for cleanup
1,0,0,1,0,1,1,1,0,1,1,1,1,0,1,file based bibtex mode see changes file based setting of bibtex biblatex mode which is stored as a metadata in the bib file if no metadata is found jabref tries to detect the mode by checking if there are biblatex entry types which results in biblatex mode and otherwise in bibtex mode except one has set the biblatex mode setting in the global preferences in that case it would use the biblatex mode ui changes completely no restart necessaryplease provide feedback very very nice any last comments jabref developers i plan to merge this in soon as the effort to keep this pr up to date with master is really high due to the high amount of changes lgtm i cannot launch jabref at this branch exception in thread awt eventqueue javautilnosuchelementexception no value present at javautiloptionalget optionaljava at netsfjabrefspecialfieldsspecialfieldvaluegetaction specialfieldvaluejava at netsfjabrefguibasepanelsetupactions basepaneljava at netsfjabrefguibasepanel basepaneljava at netsfjabrefguijabrefframeaddtab jabrefframejava at netsfjabrefguijabrefframeaddparserresult jabrefframejava at netsfjabrefjabrefopenwindow jabrefjava at netsfjabrefjabreflambda$start$ jabrefjava it works well on master my above issue was which now has been fixed by oscar in master
1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,improve database writer the aim of this pr is to improve the database writer in particular and also add tests to the writer and parser and do some refactorings to make test writing easier changes to serialization fix and by adding new lines after encoding and preamble the idea is that everything is terminated by a new line and the parsed serialization only safes newlines which separate it from the previous entry comments and preamble are serialized with capitalized first letter ie comment instead of comment and preamble instead of preamble this should follow the convention for entries there is no space anymore between string and the bracket and after the bracket ie string{name {string}} instead of string { name {string} } implemented add possibility to reformat all entries on save under preferences file refactorings renamed fileactions to bibdatabasewriter merged code for export and save in bibdatabasewriter extracted savesettings class from fileactions to own file and extended it & renamed to savepreferences note that this class has some setters against the recently established convention for preference classes since there are quite a few cases where the values from the preferences have to be overriden change usage of arrays to list in many places remove unused boolean parameters checksearch checkgroup moved writing of metadata and customentrytypesmanager to bibdatabasewriter extracted and reused gui code for displaying and editing sort preferences saveorderconfigdisplay could you rebase this on master as both pre requisite prs are already merged in so this could be completed now one question currently the save methods take parameters boolean checksearch boolean checkgroup which specify that only entries satisfying the active search group selection are exported or saved as far as i can see these boolean parameters are always set to false which means all entries are exported should i remove both parameters i guess that if this is merged in first it should be quite ok to rebase although many changes are redundant regarding your question it would be nice to be able to save like this but i guess it is another of jabrefs almost finished commented out and then removed features considering that one can save selected entries and it is quite easy to see which entries are in the active group search selection id say remove i think the code is now mature enough to be reviewed i added some notes above in the first post sorry that this pr is rather big i also pushed it to the branch jabref databasewriter so that a build should be available under do we have the only update if it changed functionality for the preamble strings and comments as well for strings and the epilogue yes for the preamble kind of the text in the preamble is stored and exactly rewritten but the preamble tag and newlines around it are not stored for the metadata there is no such functionality tobiasdiez regarding the two parameters arent they used for save selected as plain bibtex koppor no it is not used for this function save selected gets all the selected items and pass them to the save function the code in question reads javaif selectedonly { session fileactionssavepartofdatabase panelgetbibdatabasecontext file globalsprefs panelgetselectedentries encoding fileactionsdatabasesavetypedefault } else { session fileactionssavedatabase panelgetbibdatabasecontext file globalsprefs false false encoding false } please rebase i think this should be merged one suggestion regarding the savepreferences you could create a new instance after the call of a setter this would result in the benefits of having final variables and it still allows to create derivations of this savepreferences prefs new savepreferences globalsprefs savepreferences otherinstance prefswithencoding utf assert prefs otherinstance && prefsequals otherinstance rebased and implemented the withencoding suggestion ie removed all setters in the preferencesyou really dont like them right smile in my case jabref on and bit windows the problem is not fixed original lines encoding windows preamble{{\providecommand{\noopsort} {}}} or preamble are always changed to encoding windows preamble{{\providecommand{\noopsort} {}}}after saving changed bib filekind regardsjanez komelj jkomelj you have to use the latest development version or wait for the release of probably in weeks thank you
1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,removed preference setting solves it can be discussed if the setting in the auto generate group dialog should be removed as well i think that there are good arguments to have a configurable separator and even have two different separators one fundamental and one for hierarchical keywords see and therefore i close this pr
1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,fixed should solve change in changelogmd described no tests already passed this is a gui issue yes merging this as the changed visibility of the constructors prohibits a proper build at the moment if you pass null to the database then getresolvedfield is invoked with a null database thus the crossref functionality is not supported in the rename pattern i think this is not a big deal but easy to fix just pass the right db i think that at the moment null is always passed in the code which also means that it the two one and two argument constructors areonly used in tests they can be removed and nulls passed which of course isthe current behaviour but seems to make more sense to provide alternativeconstructors if they are used in actual code
1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,introduce search and error while fetching from instead of having separate strings for each fetcher the placeholder is used nowrefs
