Util,Network,Interpreter,i18n,Logic,Test,IO,Security,corpus
0,0,0,0,1,1,1,0,fixes issue returns_deep_stubs automatically tries to create serializable mocks see issue what it does is propagating the serializing mode of the parent upon each mock creation when deep stubbingbefore each mock created where made serializable by default which is not an issue when the types have a default no arg constructor but may become problematic when the type didnt have one mockito would report an error explaining that it couldnt mock this type awesome thanks brice for fixing the problem new version is already out btw the release notes automation is based on the titles of the tickets in github the better the title the better the release notes ok ah yeah it makes sense i may be able to update it on the phone
1,0,0,1,1,1,1,0,deep stubbing with generic responses in the call chain is not working also i kind of like the original unit test in i propose you include it in this pr it could be name like orgmockitousagebugsdeepstubsdeepstubfailingwhengenricnestedasrawtypetest if you can amend the change ill merge the pr done not sure its exactly what you were asking for but i dont see other option at the moment the final diff looks good to me could you squash the commits in a single one in the same branch pr better for the history btw you should be able to do that this way bashgit reset soft head git commit messagefixes issue for deep stubs with mixed raw generics type i was off for few days i see szczepan did the job so theres noting left for me btw happy new yearcheers
1,0,0,1,1,1,1,0,better protection against incompatible returned value of default answer and get safely mock name fixes issue the value returned by the default answer is now validated to make sure there wont be a classcastexception if the default value is incompatible with return typereporter now fetch in safer way the mock name in case the default answer is incorrectly implemented this avoid a classcastexception when reporting a verification issue build is ok but fail on travis
0,0,0,0,1,0,0,0,blocks ability to use negative value for timeout and after method it should if user uses mockitoafter or mockitotimeout with negative values then friendly reminder exception with details will be thrown first commit fixes the issue second one is a little bit of refactoring mostly reducing visibility and increasing encapsulation refactoring removed unused field from verificationovertimeimpl and also from constructors signature improved encapsulation by removing getters from verificationovertimeimpl reduced visibility of few constructors in timeout and after classes nice pull request thank you if comments are addressed ill merge right away about timeouttest please look at it the whole point of this test is to pass timer object and do mocking verifications on it if i use public constructor for this test i will not to able to pass timer objectthis is why constructor with this signature timeout long pollingperiodmillis verificationmode delegate timer timer was introduced by author in first place should i really touch itbtw there in so such thing like aftertest oh yeah i see fair point just ignore what i said on thatignore the aftertest too i was a bit off this morning thanks for the feedback
1,0,0,1,1,1,1,0,argumentcaptor no longer working for varargs these commits should with capturing varargs hi thanks for the pri will take a look at it soon and probably merge it in the mean time git history is fine except the merge commit can you get rid of it otherwise ill have to cherry pick relevant commits i will try to do rebase and then do force push hope it will work take a lookhm i see merge conflicts probably due your activity today commit looks good but indeed theres some conflict to narrow down ill take a look later thanks for the rebase now it should work thanks
1,0,0,0,1,1,0,0,add shouldhavezerointeractions as bdd version of verifyzerointeractions follow up to thanks mkordas
1,0,0,0,1,1,0,0,introduce bdd inorder verification follow up to
1,1,0,1,1,0,1,0,related to windows path problem was caused by file separator replacing hardcoded char by fileseperatorchar solves issue in the same file there is second occurence of this character but it is used with getresource path method in such case is only acceptable separator do i need to do something special in order to build with java it looks like problem with default method i create branch from master dont worry about that error ill push the fix at some point todaythanks for fixing the windows test issue
1,0,0,1,1,0,0,0,a verify call example in captor javadoc thanks for the fix
0,0,0,0,0,1,0,0,cannot instantiate type with public method of a public parent class having a non public types in signature this should awaiting delivery of bytebuddy fix raphw actually in bytebuddy in commit
