prNumber,Util,NLP,APM,Network,DB,Interpreter,Error.Handling,Logging,Lang,Data.Structure,DevOps,i18n,Setup,Logic,Microservices,Test,Search,IO,UI,Parser,Security,Big.Data,Event.Handling,App,Multimedia,corpus
jabref50-491,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,see #314 see #314
jabref50-491,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,see #314 see #314
jabref50-491,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,see #314 see #314
jabref50-677,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,as described in #669 and #621 the parser has some problems when an entry (or preamble) follows directly the file encoding header (on the same line) ie `% encoding: myencoding @article{}`actually as the tests reveal it was not a problem with the actual parser but within the file opening logic i dont view this pr as a complete fix for #669 and #621 since not just the parser but also the serialization should be improvedalso fix a bug that prevented the import of bibtex entries having only a key as its content as described in #669 and #621 the parser has some problems when an entry (or preamble) follows directly the file encoding header (on the same line)  i.e.   % encoding: myencoding @article{} . actually  as the tests reveal it was not a problem with the actual parser but within the file opening logic.  i don t view this pr as a complete fix for #669 and #621 since not just the parser but also the serialization should be improved.  also fix a bug that prevented the import of bibtex entries having only a key as its content.
jabref50-677,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,as described in #669 and #621 the parser has some problems when an entry (or preamble) follows directly the file encoding header (on the same line) ie `% encoding: myencoding @article{}`actually as the tests reveal it was not a problem with the actual parser but within the file opening logic i dont view this pr as a complete fix for #669 and #621 since not just the parser but also the serialization should be improvedalso fix a bug that prevented the import of bibtex entries having only a key as its content as described in #669 and #621 the parser has some problems when an entry (or preamble) follows directly the file encoding header (on the same line)  i.e.   % encoding: myencoding @article{} . actually  as the tests reveal it was not a problem with the actual parser but within the file opening logic.  i don t view this pr as a complete fix for #669 and #621 since not just the parser but also the serialization should be improved.  also fix a bug that prevented the import of bibtex entries having only a key as its content.
jabref50-677,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,as described in #669 and #621 the parser has some problems when an entry (or preamble) follows directly the file encoding header (on the same line) ie `% encoding: myencoding @article{}`actually as the tests reveal it was not a problem with the actual parser but within the file opening logic i dont view this pr as a complete fix for #669 and #621 since not just the parser but also the serialization should be improvedalso fix a bug that prevented the import of bibtex entries having only a key as its content as described in #669 and #621 the parser has some problems when an entry (or preamble) follows directly the file encoding header (on the same line)  i.e.   % encoding: myencoding @article{} . actually  as the tests reveal it was not a problem with the actual parser but within the file opening logic.  i don t view this pr as a complete fix for #669 and #621 since not just the parser but also the serialization should be improved.  also fix a bug that prevented the import of bibtex entries having only a key as its content.
jabref50-734,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,Ä¶he predefined tabs #454 ‚Ä¶he predefined tabs #454
jabref50-734,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,Ä¶he predefined tabs #454 ‚Ä¶he predefined tabs #454
jabref50-734,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Ä¶he predefined tabs #454 ‚Ä¶he predefined tabs #454
jabref50-915,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,implements #455 and/or   change in changelogmd described?-  ? ( )-  ? - only ui change-  ? implements #455 and/or  -  ? -   -  ? - only ui change -  ?
