prNumber,Util,APM,Network,DB,Error.Handling,Logging,Lang,Data.Structure,i18n,Setup,Logic,IO,UI,Parser,Event.Handling,App,GIS,Multimedia,CG,corpus
39,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,fix uninitialized variables  fix uninitialized variables 
39,1,1,0,0,1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,fix uninitialized variables  fix uninitialized variables 
39,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,fix uninitialized variables  fix uninitialized variables 
43,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,1,0,1,0,prevent stereo->mono effects from causing a crash  prevent stereo->mono effects from causing a crash. 
43,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,1,0,1,0,prevent stereo->mono effects from causing a crash  prevent stereo->mono effects from causing a crash. 
43,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,1,0,0,prevent stereo->mono effects from causing a crash  prevent stereo->mono effects from causing a crash. 
165,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,openmp trackartist::drawspectrum take 2  openmp trackartist::drawspectrum take 2 
165,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,0,1,0,openmp trackartist::drawspectrum take 2  openmp trackartist::drawspectrum take 2 
165,1,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,0,1,0,openmp trackartist::drawspectrum take 2  openmp trackartist::drawspectrum take 2 
465,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,fix filedialog compilation error (gtk+3)  fix filedialog compilation error (gtk+3) 
465,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,fix filedialog compilation error (gtk+3)  fix filedialog compilation error (gtk+3) 
465,1,0,0,0,1,1,0,1,0,1,1,1,1,0,1,0,1,1,0,fix filedialog compilation error (gtk+3)  fix filedialog compilation error (gtk+3) 
603,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,sqlite open bugs  sqlite open bugs 
603,1,1,0,0,1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,sqlite open bugs  sqlite open bugs 
603,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,sqlite open bugs  sqlite open bugs 
700,1,1,0,0,1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,fix cve-2020-11867  fix cve-2020-11867 
