prNumber,Util,APM,Network,DB,Error.Handling,Logging,Lang,Data.Structure,i18n,Setup,Logic,IO,UI,Parser,Event.Handling,App,GIS,Multimedia,CG,corpus
39,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,this is basically a recreation of #38 without any stylistic changes only fixing the uninitialized variables  this is basically a recreation of #38 without any stylistic changes  only fixing the uninitialized variables.
39,1,1,0,0,1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,this is basically a recreation of #38 without any stylistic changes only fixing the uninitialized variables  this is basically a recreation of #38 without any stylistic changes  only fixing the uninitialized variables.
39,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,this is basically a recreation of #38 without any stylistic changes only fixing the uninitialized variables  this is basically a recreation of #38 without any stylistic changes  only fixing the uninitialized variables.
43,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,1,0,1,0,if an effect has two input channels but only one output channel we cannot read from the second output buffer as there isn’t onethis hopefully fixes [#946](http://bugzillaaudacityteamorg/show_bugcgi?id946)  if an effect has two input channels but only one output channel  we cannot read from the second output buffer  as there isn’t one.  this hopefully fixes [#946](http://bugzilla.audacityteam.org/show_bug.cgi?id=946).
43,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,1,0,1,0,if an effect has two input channels but only one output channel we cannot read from the second output buffer as there isn’t onethis hopefully fixes [#946](http://bugzillaaudacityteamorg/show_bugcgi?id946)  if an effect has two input channels but only one output channel  we cannot read from the second output buffer  as there isn’t one.  this hopefully fixes [#946](http://bugzilla.audacityteam.org/show_bug.cgi?id=946).
43,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,0,0,0,if an effect has two input channels but only one output channel we cannot read from the second output buffer as there isn’t onethis hopefully fixes [#946](http://bugzillaaudacityteamorg/show_bugcgi?id946)  if an effect has two input channels but only one output channel  we cannot read from the second output buffer  as there isn’t one.  this hopefully fixes [#946](http://bugzilla.audacityteam.org/show_bug.cgi?id=946).
165,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,update to pr #163 using vector now instead of dynamic array size ive never seen where this didnt work in years but better to keep standard compliant this is not critical to performance so better to forget using alloca() as wellalso w0 w1 recalculated every iteration so it can work with new fisheye feature i did not special case this for the non-openmp as it was before since its very small component of the total and i imagine the compiler can do that for usi left the const ref change alone per james comment imo it is just a bizarre thing to do i think we can be pretty sure the code generated is not any worse as there is nothing to dereference in the loops  update to pr #163.   using vector now instead of dynamic array size. i ve never seen where this didn t work in years  but better to keep standard compliant. this is not critical to performance so better to forget using alloca() as well.  also w0  w1 recalculated every iteration so it can work with new fisheye feature. i did not special case this for the non-openmp as it was before since its very small component of the total and i imagine the compiler can do that for us.  i left the const ref change alone per james  comment. imo it is just a bizarre thing to do. i think we can be pretty sure the code generated is not any worse as there is nothing to dereference in the loops.
165,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,0,1,0,update to pr #163 using vector now instead of dynamic array size ive never seen where this didnt work in years but better to keep standard compliant this is not critical to performance so better to forget using alloca() as wellalso w0 w1 recalculated every iteration so it can work with new fisheye feature i did not special case this for the non-openmp as it was before since its very small component of the total and i imagine the compiler can do that for usi left the const ref change alone per james comment imo it is just a bizarre thing to do i think we can be pretty sure the code generated is not any worse as there is nothing to dereference in the loops  update to pr #163.   using vector now instead of dynamic array size. i ve never seen where this didn t work in years  but better to keep standard compliant. this is not critical to performance so better to forget using alloca() as well.  also w0  w1 recalculated every iteration so it can work with new fisheye feature. i did not special case this for the non-openmp as it was before since its very small component of the total and i imagine the compiler can do that for us.  i left the const ref change alone per james  comment. imo it is just a bizarre thing to do. i think we can be pretty sure the code generated is not any worse as there is nothing to dereference in the loops.
165,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,update to pr #163 using vector now instead of dynamic array size ive never seen where this didnt work in years but better to keep standard compliant this is not critical to performance so better to forget using alloca() as wellalso w0 w1 recalculated every iteration so it can work with new fisheye feature i did not special case this for the non-openmp as it was before since its very small component of the total and i imagine the compiler can do that for usi left the const ref change alone per james comment imo it is just a bizarre thing to do i think we can be pretty sure the code generated is not any worse as there is nothing to dereference in the loops  update to pr #163.   using vector now instead of dynamic array size. i ve never seen where this didn t work in years  but better to keep standard compliant. this is not critical to performance so better to forget using alloca() as well.  also w0  w1 recalculated every iteration so it can work with new fisheye feature. i did not special case this for the non-openmp as it was before since its very small component of the total and i imagine the compiler can do that for us.  i left the const ref change alone per james  comment. imo it is just a bizarre thing to do. i think we can be pretty sure the code generated is not any worse as there is nothing to dereference in the loops.
465,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,resolves #464  resolves #464
