Hypothesis,Precision,Recall,Fmeasure_score,hamming_loss,Accuracy_Score,Train/Test_Size,Project
H3,0.8141592920353983,0.5348837209302325,0.6456140350877193,0.18363636363636363,0.8163636363636364,0.8,guava_2
H3,0.27225130890052357,0.3023255813953488,0.2865013774104683,0.4709090909090909,0.5290909090909091,0.8,guava_2
H3,0.3816793893129771,0.5813953488372093,0.4608294930875576,0.4254545454545455,0.5745454545454545,0.8,guava_2
H3,0.34201954397394135,0.6104651162790697,0.4384133611691023,0.4890909090909091,0.510909090909091,0.8,guava_2
H3,0.26071428571428573,0.42441860465116277,0.3230088495575221,0.5563636363636364,0.4436363636363636,0.8,guava_2
H3,0.26098191214470284,0.5872093023255814,0.3613595706618962,0.649090909090909,0.35090909090909095,0.8,guava_2
H3,0.1891891891891892,0.12209302325581395,0.14840989399293286,0.4381818181818182,0.5618181818181818,0.8,guava_2
H3,0.6012269938650306,0.5697674418604651,0.5850746268656716,0.25272727272727274,0.7472727272727273,0.8,guava_2
H3,0.4520547945205479,0.5755813953488372,0.5063938618925832,0.3509090909090909,0.6490909090909092,0.8,guava_2
H3,0.33458646616541354,0.5174418604651163,0.4063926940639269,0.4727272727272727,0.5272727272727273,0.8,guava_2
