prNumber,Util,NLP,APM,Network,DB,Interpreter,Logging,Data.Structure,i18n,DevOps,Logic,Microservices,Test,Search,IO,UI,Parser,Security,App,corpus
11,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,BugFix for bug "#880 PubMed Import broken"
11,1,0,1,1,1,1,1,0,0,0,1,1,1,0,1,1,0,0,0,BugFix for bug "#880 PubMed Import broken"
11,1,0,0,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,BugFix for bug "#880 PubMed Import broken"
28,1,0,0,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,Added special fields Printed and Read status
28,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,Added special fields Printed and Read status
28,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,Added special fields Printed and Read status
28,1,0,0,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,Added special fields Printed and Read status
28,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,Added special fields Printed and Read status
28,1,0,0,1,0,1,1,0,0,0,1,0,1,0,1,1,0,0,1,Added special fields Printed and Read status
137,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,Unify and simplify GUI actions
137,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,Unify and simplify GUI actions
137,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,Unify and simplify GUI actions
143,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,Fix SF Bug #1285
143,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,Fix SF Bug #1285
143,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,Fix SF Bug #1285
175,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,Increase saving speed
175,1,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,1,1,Increase saving speed
