prNumber,Util,NLP,APM,Network,DB,Interpreter,Logging,Data.Structure,i18n,DevOps,Logic,Microservices,Test,Search,IO,UI,Parser,Security,App,corpus
11,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,BugFix for bug "#880 PubMed Import broken" Found bug: PubMed/Medline PLAIN format recognized as RIS format. Provided solution:     - Modified RIS ImportFilter. Now RIS format is identified by looking for the "TY" tag (it is a mandatory tag in RIS format and it is not conflictual with other filters)     - Added new ImportFilter "MedlinePlain". This import filter parses Medline files in plain format (not XML). The import filter has been produced referring to the official Medline documentation (http://www.nlm.nih.gov/bsd/mms/medlineelements.html)     - Updated the net.sf.jabref.core plugin.xml file in order to include the newly added MedlinePlain import filter  
11,1,0,1,1,1,1,1,0,0,0,1,1,1,0,1,1,0,0,0,BugFix for bug "#880 PubMed Import broken" Found bug: PubMed/Medline PLAIN format recognized as RIS format. Provided solution:     - Modified RIS ImportFilter. Now RIS format is identified by looking for the "TY" tag (it is a mandatory tag in RIS format and it is not conflictual with other filters)     - Added new ImportFilter "MedlinePlain". This import filter parses Medline files in plain format (not XML). The import filter has been produced referring to the official Medline documentation (http://www.nlm.nih.gov/bsd/mms/medlineelements.html)     - Updated the net.sf.jabref.core plugin.xml file in order to include the newly added MedlinePlain import filter  
11,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,BugFix for bug "#880 PubMed Import broken" Found bug: PubMed/Medline PLAIN format recognized as RIS format. Provided solution:     - Modified RIS ImportFilter. Now RIS format is identified by looking for the "TY" tag (it is a mandatory tag in RIS format and it is not conflictual with other filters)     - Added new ImportFilter "MedlinePlain". This import filter parses Medline files in plain format (not XML). The import filter has been produced referring to the official Medline documentation (http://www.nlm.nih.gov/bsd/mms/medlineelements.html)     - Updated the net.sf.jabref.core plugin.xml file in order to include the newly added MedlinePlain import filter  
28,1,0,0,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,Added special fields Printed and Read status Added special fields Printed and Read status  thereby implementing (at least partially): - Feature #762 Printed attribute - Feature #692 Marking of new entries and often read entries - Feature #685 Highlight new entries that were "forgotten" - Feature #602 could add the mark as read feature - Feature #225 read? checkbox  Printed is just a boolean toggle and for the read field currently the values Skimmed and Read are possible (if you have any suggestions for further possibilities  Im happy to implement them). The icons are taken from http://www.softicons.com/system-icons/crystal-project-icons-by-everaldo-coelho and should probably be replaced with icons from the same collection as the other currently used ones. This feature is availale on JabRef 2.10? What should I do to get them?  || No it is not in 2.10 but in the current development version. So you have to wait until 2.11 comes out or build the current version yourself. How to do the latter is described here: https://github.com/JabRef/jabref#building-jabref-from-source  || Thank you very much. Im could not install gradle on my laptop (ubuntu 14.04). Looking forward to the 2.11 release.  ||
28,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,Added special fields Printed and Read status Added special fields Printed and Read status  thereby implementing (at least partially): - Feature #762 Printed attribute - Feature #692 Marking of new entries and often read entries - Feature #685 Highlight new entries that were "forgotten" - Feature #602 could add the mark as read feature - Feature #225 read? checkbox  Printed is just a boolean toggle and for the read field currently the values Skimmed and Read are possible (if you have any suggestions for further possibilities  Im happy to implement them). The icons are taken from http://www.softicons.com/system-icons/crystal-project-icons-by-everaldo-coelho and should probably be replaced with icons from the same collection as the other currently used ones. This feature is availale on JabRef 2.10? What should I do to get them?  || No it is not in 2.10 but in the current development version. So you have to wait until 2.11 comes out or build the current version yourself. How to do the latter is described here: https://github.com/JabRef/jabref#building-jabref-from-source  || Thank you very much. Im could not install gradle on my laptop (ubuntu 14.04). Looking forward to the 2.11 release.  ||
28,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,1,0,0,Added special fields Printed and Read status Added special fields Printed and Read status  thereby implementing (at least partially): - Feature #762 Printed attribute - Feature #692 Marking of new entries and often read entries - Feature #685 Highlight new entries that were "forgotten" - Feature #602 could add the mark as read feature - Feature #225 read? checkbox  Printed is just a boolean toggle and for the read field currently the values Skimmed and Read are possible (if you have any suggestions for further possibilities  Im happy to implement them). The icons are taken from http://www.softicons.com/system-icons/crystal-project-icons-by-everaldo-coelho and should probably be replaced with icons from the same collection as the other currently used ones. This feature is availale on JabRef 2.10? What should I do to get them?  || No it is not in 2.10 but in the current development version. So you have to wait until 2.11 comes out or build the current version yourself. How to do the latter is described here: https://github.com/JabRef/jabref#building-jabref-from-source  || Thank you very much. Im could not install gradle on my laptop (ubuntu 14.04). Looking forward to the 2.11 release.  ||
28,1,0,0,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,Added special fields Printed and Read status Added special fields Printed and Read status  thereby implementing (at least partially): - Feature #762 Printed attribute - Feature #692 Marking of new entries and often read entries - Feature #685 Highlight new entries that were "forgotten" - Feature #602 could add the mark as read feature - Feature #225 read? checkbox  Printed is just a boolean toggle and for the read field currently the values Skimmed and Read are possible (if you have any suggestions for further possibilities  Im happy to implement them). The icons are taken from http://www.softicons.com/system-icons/crystal-project-icons-by-everaldo-coelho and should probably be replaced with icons from the same collection as the other currently used ones. This feature is availale on JabRef 2.10? What should I do to get them?  || No it is not in 2.10 but in the current development version. So you have to wait until 2.11 comes out or build the current version yourself. How to do the latter is described here: https://github.com/JabRef/jabref#building-jabref-from-source  || Thank you very much. Im could not install gradle on my laptop (ubuntu 14.04). Looking forward to the 2.11 release.  ||
28,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,Added special fields Printed and Read status Added special fields Printed and Read status  thereby implementing (at least partially): - Feature #762 Printed attribute - Feature #692 Marking of new entries and often read entries - Feature #685 Highlight new entries that were "forgotten" - Feature #602 could add the mark as read feature - Feature #225 read? checkbox  Printed is just a boolean toggle and for the read field currently the values Skimmed and Read are possible (if you have any suggestions for further possibilities  Im happy to implement them). The icons are taken from http://www.softicons.com/system-icons/crystal-project-icons-by-everaldo-coelho and should probably be replaced with icons from the same collection as the other currently used ones. This feature is availale on JabRef 2.10? What should I do to get them?  || No it is not in 2.10 but in the current development version. So you have to wait until 2.11 comes out or build the current version yourself. How to do the latter is described here: https://github.com/JabRef/jabref#building-jabref-from-source  || Thank you very much. Im could not install gradle on my laptop (ubuntu 14.04). Looking forward to the 2.11 release.  ||
28,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,Added special fields Printed and Read status Added special fields Printed and Read status  thereby implementing (at least partially): - Feature #762 Printed attribute - Feature #692 Marking of new entries and often read entries - Feature #685 Highlight new entries that were "forgotten" - Feature #602 could add the mark as read feature - Feature #225 read? checkbox  Printed is just a boolean toggle and for the read field currently the values Skimmed and Read are possible (if you have any suggestions for further possibilities  Im happy to implement them). The icons are taken from http://www.softicons.com/system-icons/crystal-project-icons-by-everaldo-coelho and should probably be replaced with icons from the same collection as the other currently used ones. This feature is availale on JabRef 2.10? What should I do to get them?  || No it is not in 2.10 but in the current development version. So you have to wait until 2.11 comes out or build the current version yourself. How to do the latter is described here: https://github.com/JabRef/jabref#building-jabref-from-source  || Thank you very much. Im could not install gradle on my laptop (ubuntu 14.04). Looking forward to the 2.11 release.  ||
137,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,Unify and simplify GUI actions - Using lambdas for the simpler actions - Some code cleanup - Extract String commands as String constants to Actions.java and use the constants in JabRefFrame  BasePanel and RightClickMenu - Use the constants already defined in KeyBinds to get KeyStrokes for the Actions (in JabRefFrame  BasePanel  EntryEditor and RightClickMenu) - 8e3ad9d: Remove Quickfix for [SF.net Bug #1277](https://sourceforge.net/p/jabref/bugs/1277/) and implement feature properly: Instead of Deactivating "Show/Hide Toolbar" when no database is open  the action has been move to JabRefFrame and works now even if no database is open.  see also #136  I propose to merge the current status into master. The changes described above cover the changes possible without restructuring the whole Action architecture in the GUI.  || LGTM :+1:   || Ah... answered just here: https://github.com/matthiasgeiger/jabref/commit/8e3ad9d9804be70cf47f6e20191efcaae2ddfe23#commitcomment-13044544  ||
137,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,Unify and simplify GUI actions - Using lambdas for the simpler actions - Some code cleanup - Extract String commands as String constants to Actions.java and use the constants in JabRefFrame  BasePanel and RightClickMenu - Use the constants already defined in KeyBinds to get KeyStrokes for the Actions (in JabRefFrame  BasePanel  EntryEditor and RightClickMenu) - 8e3ad9d: Remove Quickfix for [SF.net Bug #1277](https://sourceforge.net/p/jabref/bugs/1277/) and implement feature properly: Instead of Deactivating "Show/Hide Toolbar" when no database is open  the action has been move to JabRefFrame and works now even if no database is open.  see also #136  I propose to merge the current status into master. The changes described above cover the changes possible without restructuring the whole Action architecture in the GUI.  || LGTM :+1:   || Ah... answered just here: https://github.com/matthiasgeiger/jabref/commit/8e3ad9d9804be70cf47f6e20191efcaae2ddfe23#commitcomment-13044544  ||
137,1,0,0,1,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0,Unify and simplify GUI actions - Using lambdas for the simpler actions - Some code cleanup - Extract String commands as String constants to Actions.java and use the constants in JabRefFrame  BasePanel and RightClickMenu - Use the constants already defined in KeyBinds to get KeyStrokes for the Actions (in JabRefFrame  BasePanel  EntryEditor and RightClickMenu) - 8e3ad9d: Remove Quickfix for [SF.net Bug #1277](https://sourceforge.net/p/jabref/bugs/1277/) and implement feature properly: Instead of Deactivating "Show/Hide Toolbar" when no database is open  the action has been move to JabRefFrame and works now even if no database is open.  see also #136  I propose to merge the current status into master. The changes described above cover the changes possible without restructuring the whole Action architecture in the GUI.  || LGTM :+1:   || Ah... answered just here: https://github.com/matthiasgeiger/jabref/commit/8e3ad9d9804be70cf47f6e20191efcaae2ddfe23#commitcomment-13044544  ||
143,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,Fix SF Bug #1285 Restores the cursor resp. "caret" position when a field is store during editing. This fixes [SF.net bug #1285](http://sourceforge.net/p/jabref/bugs/1285/).  To be done:  - Backport to dev_2.11 - Ask for confirmation on SF.net and close the issue there. Why does it lose focus anyway? This makes no sense to me. Saving should be a background process triggered by a key event.  || I think  a backport to dev_2.11 is not necessary.  @stefan-kolb I agree. Very strange that the focus is changed.  || ... debugging this code is hell! :scream:  The new fix fixes the problem where it is caused: Method `updateField` in `EntryEditorTab` re-sets the textfield which causes a loss of the current caret position...  || This looks way better and easier to maintain :blush:  ||
