prNumber,Util,NLP,APM,Network,DB,Interpreter,Logging,Data.Structure,i18n,DevOps,Logic,Microservices,Test,Search,IO,UI,Parser,Security,App,corpus
11,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,Fabio opened Joe commented Fabio commented Joe commented Fabio closed. Found bug: PubMed/Medline PLAIN format recognized as RIS format. Provided solution:     - Modified RIS ImportFilter. Now RIS format is identified by looking for the "TY" tag (it is a mandatory tag in RIS format and it is not conflictual with other filters)     - Added new ImportFilter "MedlinePlain". This import filter parses Medline files in plain format (not XML). The import filter has been produced referring to the official Medline documentation (http://www.nlm.nih.gov/bsd/mms/medlineelements.html)     - Updated the net.sf.jabref.core plugin.xml file in order to include the newly added MedlinePlain import filter
11,1,0,1,1,1,1,1,0,0,0,1,1,1,0,1,1,0,0,0,Fabio opened Joe commented Fabio commented Joe commented Fabio closed. Found bug: PubMed/Medline PLAIN format recognized as RIS format. Provided solution:     - Modified RIS ImportFilter. Now RIS format is identified by looking for the "TY" tag (it is a mandatory tag in RIS format and it is not conflictual with other filters)     - Added new ImportFilter "MedlinePlain". This import filter parses Medline files in plain format (not XML). The import filter has been produced referring to the official Medline documentation (http://www.nlm.nih.gov/bsd/mms/medlineelements.html)     - Updated the net.sf.jabref.core plugin.xml file in order to include the newly added MedlinePlain import filter
11,1,0,0,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,Fabio opened Joe commented Fabio commented Joe commented Fabio closed. Found bug: PubMed/Medline PLAIN format recognized as RIS format. Provided solution:     - Modified RIS ImportFilter. Now RIS format is identified by looking for the "TY" tag (it is a mandatory tag in RIS format and it is not conflictual with other filters)     - Added new ImportFilter "MedlinePlain". This import filter parses Medline files in plain format (not XML). The import filter has been produced referring to the official Medline documentation (http://www.nlm.nih.gov/bsd/mms/medlineelements.html)     - Updated the net.sf.jabref.core plugin.xml file in order to include the newly added MedlinePlain import filter
28,1,0,0,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,Hanish opened Joe commented Fabio commented Hanish commented Fabio closed. Added special fields Printed and Read status  thereby implementing (at least partially): - Feature #762 Printed attribute - Feature #692 Marking of new entries and often read entries - Feature #685 Highlight new entries that were "forgotten" - Feature #602 could add the mark as read feature - Feature #225 read? checkbox  Printed is just a boolean toggle and for the read field currently the values Skimmed and Read are possible (if you have any suggestions for further possibilities  Im happy to implement them). The icons are taken from http://www.softicons.com/system-icons/crystal-project-icons-by-everaldo-coelho and should probably be replaced with icons from the same collection as the other currently used ones.
28,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,Hanish opened Joe commented Fabio commented Hanish commented Fabio closed. Added special fields Printed and Read status  thereby implementing (at least partially): - Feature #762 Printed attribute - Feature #692 Marking of new entries and often read entries - Feature #685 Highlight new entries that were "forgotten" - Feature #602 could add the mark as read feature - Feature #225 read? checkbox  Printed is just a boolean toggle and for the read field currently the values Skimmed and Read are possible (if you have any suggestions for further possibilities  Im happy to implement them). The icons are taken from http://www.softicons.com/system-icons/crystal-project-icons-by-everaldo-coelho and should probably be replaced with icons from the same collection as the other currently used ones.
28,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,Hanish opened Joe commented Fabio commented Hanish commented Fabio closed. Added special fields Printed and Read status  thereby implementing (at least partially): - Feature #762 Printed attribute - Feature #692 Marking of new entries and often read entries - Feature #685 Highlight new entries that were "forgotten" - Feature #602 could add the mark as read feature - Feature #225 read? checkbox  Printed is just a boolean toggle and for the read field currently the values Skimmed and Read are possible (if you have any suggestions for further possibilities  Im happy to implement them). The icons are taken from http://www.softicons.com/system-icons/crystal-project-icons-by-everaldo-coelho and should probably be replaced with icons from the same collection as the other currently used ones.
28,1,0,0,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,Hanish opened Joe commented Fabio commented Hanish commented Fabio closed. Added special fields Printed and Read status  thereby implementing (at least partially): - Feature #762 Printed attribute - Feature #692 Marking of new entries and often read entries - Feature #685 Highlight new entries that were "forgotten" - Feature #602 could add the mark as read feature - Feature #225 read? checkbox  Printed is just a boolean toggle and for the read field currently the values Skimmed and Read are possible (if you have any suggestions for further possibilities  Im happy to implement them). The icons are taken from http://www.softicons.com/system-icons/crystal-project-icons-by-everaldo-coelho and should probably be replaced with icons from the same collection as the other currently used ones.
28,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,Hanish opened Joe commented Fabio commented Hanish commented Fabio closed. Added special fields Printed and Read status  thereby implementing (at least partially): - Feature #762 Printed attribute - Feature #692 Marking of new entries and often read entries - Feature #685 Highlight new entries that were "forgotten" - Feature #602 could add the mark as read feature - Feature #225 read? checkbox  Printed is just a boolean toggle and for the read field currently the values Skimmed and Read are possible (if you have any suggestions for further possibilities  Im happy to implement them). The icons are taken from http://www.softicons.com/system-icons/crystal-project-icons-by-everaldo-coelho and should probably be replaced with icons from the same collection as the other currently used ones.
28,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,Hanish opened Joe commented Fabio commented Hanish commented Fabio closed. Added special fields Printed and Read status  thereby implementing (at least partially): - Feature #762 Printed attribute - Feature #692 Marking of new entries and often read entries - Feature #685 Highlight new entries that were "forgotten" - Feature #602 could add the mark as read feature - Feature #225 read? checkbox  Printed is just a boolean toggle and for the read field currently the values Skimmed and Read are possible (if you have any suggestions for further possibilities  Im happy to implement them). The icons are taken from http://www.softicons.com/system-icons/crystal-project-icons-by-everaldo-coelho and should probably be replaced with icons from the same collection as the other currently used ones.
137,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,Fabio opened Hanish commented Fabio closed. - Using lambdas for the simpler actions - Some code cleanup - Extract String commands as String constants to Actions.java and use the constants in JabRefFrame  BasePanel and RightClickMenu - Use the constants already defined in KeyBinds to get KeyStrokes for the Actions (in JabRefFrame  BasePanel  EntryEditor and RightClickMenu) - 8e3ad9d: Remove Quickfix for [SF.net Bug #1277](https://sourceforge.net/p/jabref/bugs/1277/) and implement feature properly: Instead of Deactivating "Show/Hide Toolbar" when no database is open  the action has been move to JabRefFrame and works now even if no database is open.  see also #136 
137,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,Fabio opened Hanish commented Fabio closed. - Using lambdas for the simpler actions - Some code cleanup - Extract String commands as String constants to Actions.java and use the constants in JabRefFrame  BasePanel and RightClickMenu - Use the constants already defined in KeyBinds to get KeyStrokes for the Actions (in JabRefFrame  BasePanel  EntryEditor and RightClickMenu) - 8e3ad9d: Remove Quickfix for [SF.net Bug #1277](https://sourceforge.net/p/jabref/bugs/1277/) and implement feature properly: Instead of Deactivating "Show/Hide Toolbar" when no database is open  the action has been move to JabRefFrame and works now even if no database is open.  see also #136 
137,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Fabio opened Hanish commented Fabio closed. - Using lambdas for the simpler actions - Some code cleanup - Extract String commands as String constants to Actions.java and use the constants in JabRefFrame  BasePanel and RightClickMenu - Use the constants already defined in KeyBinds to get KeyStrokes for the Actions (in JabRefFrame  BasePanel  EntryEditor and RightClickMenu) - 8e3ad9d: Remove Quickfix for [SF.net Bug #1277](https://sourceforge.net/p/jabref/bugs/1277/) and implement feature properly: Instead of Deactivating "Show/Hide Toolbar" when no database is open  the action has been move to JabRefFrame and works now even if no database is open.  see also #136 
143,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,Jacob opened Joe commented Jacob commented Joe closed. Restores the cursor resp. "caret" position when a field is store during editing. This fixes [SF.net bug #1285](http://sourceforge.net/p/jabref/bugs/1285/).  To be done:  - Backport to dev_2.11 - Ask for confirmation on SF.net and close the issue there.
143,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,Jacob opened Joe commented Jacob commented Joe closed. Restores the cursor resp. "caret" position when a field is store during editing. This fixes [SF.net bug #1285](http://sourceforge.net/p/jabref/bugs/1285/).  To be done:  - Backport to dev_2.11 - Ask for confirmation on SF.net and close the issue there.
143,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,Jacob opened Joe commented Jacob commented Joe closed. Restores the cursor resp. "caret" position when a field is store during editing. This fixes [SF.net bug #1285](http://sourceforge.net/p/jabref/bugs/1285/).  To be done:  - Backport to dev_2.11 - Ask for confirmation on SF.net and close the issue there.
175,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,Fabio opened Joe commented Fabio commented Fabio closed. Intended to fix #122  this PR turned into a major API change. It replaces `String[]` in the return types of `BibtexEntryType` with `List<String>`. This allows to return immutable lists instead of mutable arrays and improves the stability of the program. Additionally  the rewrite allowed to replace a lot of duplicate object creation with instance variables.  With respect to #122  the immutability of the new lists removes the necessity to create defensive copies and therefore avoids a lot of cloning.
175,1,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,1,1,Fabio opened Joe commented Fabio commented Fabio closed.Intended to fix #122  this PR turned into a major API change. It replaces `String[]` in the return types of `BibtexEntryType` with `List<String>`. This allows to return immutable lists instead of mutable arrays and improves the stability of the program. Additionally  the rewrite allowed to replace a lot of duplicate object creation with instance variables.  With respect to #122  the immutability of the new lists removes the necessity to create defensive copies and therefore avoids a lot of cloning.
175,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,Fabio opened Joe commented Fabio commented Hanish commented Hanish closed. Intended to fix #122  this PR turned into a major API change. It replaces `String[]` in the return types of `BibtexEntryType` with `List<String>`. This allows to return immutable lists instead of mutable arrays and improves the stability of the program. Additionally  the rewrite allowed to replace a lot of duplicate object creation with instance variables.  With respect to #122  the immutability of the new lists removes the necessity to create defensive copies and therefore avoids a lot of cloning.
187,1,0,1,1,1,1,1,0,0,0,1,1,1,0,1,1,0,0,0,Fabio opened Joe commented Fabio commented Hanish commented Hanish closed. Evaluating the usage and problems of #114. What is FieldContentParser really doing? What is JabRef style formatting?
187,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,0,0,0,Fabio opened Joe commented Fabio commented Hanish commented Hanish closed. Evaluating the usage and problems of #114. What is FieldContentParser really doing? What is JabRef style formatting?
187,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,Fabio opened Joe commented Fabio commented Hanish commented Hanish closed. Evaluating the usage and problems of #114. What is FieldContentParser really doing? What is JabRef style formatting?
204,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,Fabio opened Hanish commented Jacob commented Fabio commented Hanish closed.Implements SourceForge feature requests #318 and #582.
204,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,Jacob opened Fabio commented Joe commented Jacob commented Fabio commented Fabio closed. Implements SourceForge feature requests #318 and #582.
204,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,Jacob opened Fabio commented Joe commented Jacob commented Fabio commented Fabio closed. Implements SourceForge feature requests #318 and #582.
219,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Jacob opened Hanish commented Jacob commented Joe commented Joe closed. Why? - See #173   What is does: - bugfix: correct abbreviations are loaded when storing preferences through the advanced tab - IEEE abbreviations are either plain (text) or in latex (code) form. For each of them  a separate file exist now. The config option `USE_IEEE` loads the latex one if it is true  and the plain one otherwise.
219,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,Jacob opened Hanish commented Jacob commented Joe commented Joe closed. Why? - See #173   What is does: - bugfix: correct abbreviations are loaded when storing preferences through the advanced tab - IEEE abbreviations are either plain (text) or in latex (code) form. For each of them  a separate file exist now. The config option `USE_IEEE` loads the latex one if it is true  and the plain one otherwise.
219,1,0,0,1,0,0,1,0,1,1,1,0,1,0,1,1,1,0,1,Jacob opened Hanish commented Jacob commented Joe commented Joe closed. Why? - See #173   What is does: - bugfix: correct abbreviations are loaded when storing preferences through the advanced tab - IEEE abbreviations are either plain (text) or in latex (code) form. For each of them  a separate file exist now. The config option `USE_IEEE` loads the latex one if it is true  and the plain one otherwise.
287,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,Fabio opened Joe commented Fabio commented Joe closed. Search for Directory of Open Access Journals. Quite functional  but the remaining things should (probably) be done - [x] ~~Help page~~ - [x] Decide on where the BibJSONConverter class should be positioned (input?) - [x] More fields? ~~ISSN?~~ - [x] ~~Better/more error checking~~ - [x] ~~Handle search results with more than 100 entries properly~~ - [x] ~~Fill empty methods in DOAJFetcher~~ - [x] ~~Update status bar~~ - [x] Add test for BibJSONConverter - [x] ~~Enable stopping search~~  Implements what is discussed in #208
287,1,0,0,1,0,1,1,1,0,0,1,0,1,0,1,1,0,1,0,Fabio opened Joe commented Fabio commented Joe closed. Search for Directory of Open Access Journals. Quite functional  but the remaining things should (probably) be done - [x] ~~Help page~~ - [x] Decide on where the BibJSONConverter class should be positioned (input?) - [x] More fields? ~~ISSN?~~ - [x] ~~Better/more error checking~~ - [x] ~~Handle search results with more than 100 entries properly~~ - [x] ~~Fill empty methods in DOAJFetcher~~ - [x] ~~Update status bar~~ - [x] Add test for BibJSONConverter - [x] ~~Enable stopping search~~  Implements what is discussed in #208
