prNumber,APM,Interpreter,Logging,Data.Structure,i18n,Setup,Logic,Microservices,Test,Search,UI,Parser,App,corpus
488,1,0,0,0,0,1,0,0,0,1,1,0,1,fix editor cli parsing if comma is decimal sep in locale
488,1,1,0,0,0,1,0,1,1,1,1,1,1,fix editor cli parsing if comma is decimal sep in locale
488,0,0,0,0,0,1,0,0,0,0,0,0,0,fix editor cli parsing if comma is decimal sep in locale
510,0,0,0,0,0,1,0,0,0,0,0,0,0,fixes for zone resize
510,1,1,0,1,0,1,0,1,0,1,1,1,1,fixes for zone resize
510,1,0,0,0,0,1,1,1,0,1,1,0,1,fixes for zone resize
510,0,0,0,0,0,1,0,0,0,0,0,0,0,fixes for zone resize
510,1,1,0,1,0,1,0,1,0,1,1,1,1,fixes for zone resize
510,0,0,0,0,0,0,0,0,0,0,0,0,1,fixes for zone resize
510,0,0,0,0,0,1,0,0,0,0,0,0,0,fixes for zone resize
510,1,0,0,1,0,1,0,1,0,1,1,1,1,fixes for zone resize
510,0,0,0,0,0,0,0,0,0,0,0,0,1,fixes for zone resize
548,1,0,0,0,0,1,0,1,0,1,1,0,1,fix for issue 448
548,1,0,0,1,0,1,0,1,0,1,1,1,1,fix for issue 448
548,0,0,0,0,0,0,0,0,0,1,0,0,1,fix for issue 448
657,1,0,0,0,0,1,0,1,0,1,1,0,1,fix for different per-monitor scaling
657,1,1,0,1,0,1,0,1,0,1,1,1,1,fix for different per-monitor scaling
657,1,0,0,0,0,1,0,0,0,1,1,0,1,fix for different per-monitor scaling
657,1,0,0,0,0,1,0,1,0,1,1,0,1,fix for different per-monitor scaling
657,1,1,0,1,0,1,0,1,0,1,1,1,1,fix for different per-monitor scaling
657,0,0,0,0,0,0,0,0,0,0,0,0,1,fix for different per-monitor scaling
715,1,0,0,0,0,1,0,1,0,1,1,0,1,fancyzoneseditor: open a tab with the selected layout on startup
715,1,0,0,1,0,1,0,0,0,1,1,0,1,fancyzoneseditor: open a tab with the selected layout on startup
715,0,0,0,0,0,0,0,1,0,1,1,0,1,fancyzoneseditor: open a tab with the selected layout on startup
927,1,0,0,0,0,1,0,1,0,1,1,0,1,code analysis / style cop adjustments for net
927,1,0,0,0,0,1,1,1,0,1,1,0,1,code analysis / style cop adjustments for net
927,1,0,0,0,0,1,1,1,0,1,1,0,1,code analysis / style cop adjustments for net
927,1,0,0,0,0,1,0,1,0,1,1,0,1,code analysis / style cop adjustments for net
927,1,0,0,0,0,1,1,1,0,1,1,0,1,code analysis / style cop adjustments for net
927,0,0,0,0,0,0,0,0,0,1,1,0,1,code analysis / style cop adjustments for net
994,0,0,0,0,0,1,0,0,0,0,0,0,0,when spacing is set to 0 or turned off display 1px border so user can  distinguish zone edges
994,1,0,0,0,0,1,1,1,0,1,1,0,1,when spacing is set to 0 or turned off display 1px border so user can  distinguish zone edges
994,0,0,0,0,0,0,0,0,0,0,0,0,1,when spacing is set to 0 or turned off display 1px border so user can  distinguish zone edges
1000,0,0,0,0,0,1,0,0,0,0,0,0,0,fix for #923
1000,1,0,0,0,0,1,1,1,0,1,1,0,1,fix for #923
1000,1,0,0,0,0,1,0,1,0,1,1,0,1,fix for #923
1009,1,1,0,0,0,1,0,1,1,1,1,1,1,🎁 import image resizer for windows
1009,1,0,0,0,0,1,1,1,0,1,1,0,1,🎁 import image resizer for windows
1009,1,0,0,0,0,1,1,1,0,1,1,0,1,🎁 import image resizer for windows
1072,0,0,0,0,0,0,0,0,0,0,0,0,0,implement common library interfaces for preview pane
1072,1,0,0,0,0,1,1,1,0,1,1,0,1,implement common library interfaces for preview pane
1072,1,0,0,0,0,1,1,1,0,1,1,0,1,implement common library interfaces for preview pane
1072,0,0,0,0,0,0,0,0,0,0,0,0,0,implement common library interfaces for preview pane
1072,1,0,0,0,0,1,1,1,0,1,1,0,1,implement common library interfaces for preview pane
1072,1,0,0,0,0,1,1,1,0,1,1,0,1,implement common library interfaces for preview pane
1075,0,0,0,0,0,0,0,1,0,0,1,0,1,user/lamotile/add_powerpreviewsettings
1075,1,0,0,0,0,1,1,0,0,1,1,0,1,user/lamotile/add_powerpreviewsettings
1075,1,0,0,0,0,1,1,1,0,1,1,0,1,user/lamotile/add_powerpreviewsettings
1075,0,0,0,0,0,0,0,1,0,0,1,0,1,user/lamotile/add_powerpreviewsettings
1075,0,0,0,0,0,0,1,0,0,0,0,0,1,user/lamotile/add_powerpreviewsettings
1075,0,0,0,0,0,0,0,0,0,0,0,0,1,user/lamotile/add_powerpreviewsettings
1122,0,0,0,0,0,1,0,1,0,1,1,0,1,localizing c# project of fancyzones (fancyzoneseditor) (#199)
1122,1,1,0,1,0,1,0,1,0,1,1,0,1,localizing c# project of fancyzones (fancyzoneseditor) (#199)
1122,1,0,0,0,0,1,0,1,0,1,1,0,1,localizing c# project of fancyzones (fancyzoneseditor) (#199)
1123,0,0,0,0,0,0,0,0,0,0,0,0,0,renamed advanced options to settings and removed about tab (dev/imageresizer)
1123,1,0,1,0,0,1,0,0,0,1,1,0,1,renamed advanced options to settings and removed about tab (dev/imageresizer)
1123,1,0,0,0,0,1,1,1,0,1,1,0,1,renamed advanced options to settings and removed about tab (dev/imageresizer)
1128,0,0,0,0,0,0,0,0,0,0,0,0,0,markdown preview pane
1128,0,0,0,1,0,0,0,0,0,1,1,0,1,markdown preview pane
1128,1,0,0,0,0,1,0,1,0,1,1,0,1,markdown preview pane
1129,0,0,0,0,0,0,0,1,0,0,1,0,1,add svg preview handler
1129,0,0,1,0,0,0,0,0,0,1,0,0,1,add svg preview handler
1129,0,0,0,0,0,1,0,0,0,0,0,0,0,add svg preview handler
1195,0,0,0,0,0,1,0,0,0,0,0,0,0,sync with master (dev/imageresizer)
1195,1,0,0,0,0,1,1,1,0,1,1,1,1,sync with master (dev/imageresizer)
1195,1,0,0,0,0,1,0,0,0,1,1,0,1,sync with master (dev/imageresizer)
1220,0,0,0,0,0,0,0,0,0,0,0,0,0,markdown preview pane
1220,0,0,0,0,0,1,1,0,0,1,1,0,1,markdown preview pane
1220,1,0,0,0,0,1,1,0,0,1,1,0,1,markdown preview pane
1231,0,0,0,0,0,0,0,1,0,0,1,0,1,remove script and image element from svg
1231,0,0,0,1,0,0,0,0,0,1,0,0,0,remove script and image element from svg
1231,1,0,0,0,0,1,0,1,0,1,1,0,1,remove script and image element from svg
1258,1,0,0,0,0,1,0,0,0,1,1,1,1,save imageresizer settings in json format
1258,0,0,0,1,0,0,0,0,0,1,1,0,1,save imageresizer settings in json format
1258,1,0,0,0,0,1,1,0,0,1,1,0,1,save imageresizer settings in json format
1272,1,0,0,0,0,1,0,0,0,1,1,1,1,added telemetry to imageresizer shell extension code (dev/imageresizer)
1272,1,0,0,0,0,1,0,1,1,1,1,1,1,added telemetry to imageresizer shell extension code (dev/imageresizer)
1272,1,0,0,0,0,1,1,1,0,1,1,0,1,added telemetry to imageresizer shell extension code (dev/imageresizer)
1299,0,0,0,0,0,0,0,0,0,0,0,0,0,preview pane telemetry
1299,0,0,1,0,0,0,0,0,0,0,0,0,1,preview pane telemetry
1299,1,0,0,0,0,1,0,0,0,1,1,0,1,preview pane telemetry
1303,0,0,0,0,0,0,0,0,0,0,1,0,0,markdown image files display
1303,1,1,0,0,0,1,0,1,1,1,1,1,1,markdown image files display
1303,0,0,0,0,0,0,0,0,0,0,0,0,1,markdown image files display
1308,0,0,0,0,0,1,0,0,0,0,0,0,0,fixed a grid editor issue
1308,0,0,0,0,0,0,1,1,0,1,1,0,1,fixed a grid editor issue
1308,1,0,0,0,0,1,1,1,0,1,1,0,1,fixed a grid editor issue
1309,0,0,0,0,0,1,0,0,0,0,0,0,0,fixed resizer thumbs not being shown
1309,1,0,1,0,0,1,0,1,0,1,1,0,1,fixed resizer thumbs not being shown
1309,1,0,0,0,0,1,1,1,0,1,1,0,1,fixed resizer thumbs not being shown
1368,0,0,0,0,0,0,0,1,0,0,1,0,1,svg preview handler block external component
1368,1,1,0,1,0,1,0,1,0,1,1,0,1,svg preview handler block external component
1368,0,0,0,0,0,0,0,0,0,0,0,0,1,svg preview handler block external component
1421,1,0,0,0,0,1,0,0,0,1,1,0,1,sync changes from master (dev/imageresizer)
1421,1,1,1,0,0,1,0,1,1,1,1,1,1,sync changes from master (dev/imageresizer)
1421,0,0,0,0,0,0,0,0,0,0,0,0,1,sync changes from master (dev/imageresizer)
1421,1,0,0,0,0,1,0,0,0,1,1,0,1,sync changes from master (dev/imageresizer)
1421,0,0,1,0,0,0,0,0,0,1,0,0,1,sync changes from master (dev/imageresizer)
1421,0,0,0,0,0,0,0,0,0,0,0,0,1,sync changes from master (dev/imageresizer)
1430,0,0,0,0,0,0,0,0,0,0,0,0,0,handle exception while editor is parsing custom layouts
1430,0,0,0,0,1,1,0,0,0,0,0,0,0,handle exception while editor is parsing custom layouts
1430,1,0,0,0,0,1,0,1,0,1,1,0,1,handle exception while editor is parsing custom layouts
1456,0,0,0,0,0,0,0,0,0,0,1,0,0,call gc on preview unloading
1456,1,0,0,1,0,1,0,1,0,1,1,0,1,call gc on preview unloading
1456,0,0,0,0,0,0,0,0,0,0,0,0,1,call gc on preview unloading
1456,0,0,0,0,0,0,0,0,0,0,1,0,0,call gc on preview unloading
1456,1,0,0,0,1,1,0,1,0,1,1,0,1,call gc on preview unloading
1456,0,0,0,0,0,0,0,0,0,1,0,0,0,call gc on preview unloading
1458,1,0,0,0,0,1,0,0,0,1,1,0,1,fixed an issue where zones do not fill up the whole screen
1458,0,0,0,0,1,1,0,0,0,0,0,0,0,fixed an issue where zones do not fill up the whole screen
1458,0,0,0,0,0,0,0,0,0,0,0,0,1,fixed an issue where zones do not fill up the whole screen
1458,1,0,0,0,0,1,0,0,0,1,1,0,1,fixed an issue where zones do not fill up the whole screen
1458,1,0,0,0,0,1,1,1,1,1,1,1,1,fixed an issue where zones do not fill up the whole screen
1458,1,0,0,0,0,1,0,0,0,1,1,0,1,fixed an issue where zones do not fill up the whole screen
1464,0,0,0,0,0,0,0,1,0,0,1,0,1,update web browser control for markdown previewer
1464,0,0,0,0,0,0,1,0,1,1,1,1,1,update web browser control for markdown previewer
1464,0,0,0,0,0,1,0,0,0,0,0,0,0,update web browser control for markdown previewer
1503,0,0,0,0,0,1,0,0,0,0,0,0,0,fancyzones editor magnetic snapping effect
1503,0,0,0,0,1,1,0,0,0,0,0,0,0,fancyzones editor magnetic snapping effect
1503,1,0,0,0,0,1,1,1,0,1,1,0,1,fancyzones editor magnetic snapping effect
1503,0,0,0,0,0,1,0,0,0,0,0,0,0,fancyzones editor magnetic snapping effect
1503,1,0,0,0,0,1,0,0,0,1,1,0,1,fancyzones editor magnetic snapping effect
1512,0,0,0,0,0,1,0,0,0,0,0,0,0,fix deleting custom layouts when closing on saveapply
1512,0,0,0,0,0,0,0,0,0,0,0,0,1,fix deleting custom layouts when closing on saveapply
1583,0,0,0,0,0,0,0,0,0,0,1,0,1,remove failing svg preview handler unit tests in ci
