prNumber,APM,Interpreter,Logging,Data.Structure,i18n,Setup,Logic,Microservices,Test,Search,UI,Parser,App,corpus
488,1,0,0,0,0,1,0,0,0,1,1,0,1,fix editor cli parsing if comma is decimal sep in locale <!-- enter a brief description/summary of your pr here what does it fix/what does it change/how was it tested (even manually if necessary)? -->fix fancyzoneseditor cli parsing of dpi on locales with comma as decimal separator<!-- other than the issue solved is this relevant to any other issues/existing prs? --> related existing issue #449<!-- provide a more detailed description of the pr other things fixed or any additional comments/features here -->although the cli should be constructed with c locale (c/c++ invariant in c#) by the fancyzones application i wasnt completely certain about that so i resorted to using a fallback mechanism of trying both invariant and current cultures for float parsing<!-- describe how you validated the behavior add automated tests wherever possible but list manual validation steps taken as well -->## validation steps performedtested manually by setting computer language eg to finnish (comma as decimal separator) and regression tested with en-us as computer culture as well as finnish with forced period as decimal separator  fix editor cli parsing if comma is decimal sep in locale   <!-- enter a brief description/summary of your pr here. what does it fix/what does it change/how was it tested (even manually  if necessary)? --> fix fancyzoneseditor cli parsing of dpi on locales with comma as decimal separator. <!-- other than the issue solved  is this relevant to any other issues/existing prs? -->  related existing issue #449  <!-- provide a more detailed description of the pr  other things fixed or any additional comments/features here --> although the cli should be constructed with c locale (c/c++  invariant in c#) by the fancyzones application  i wasn t completely certain about that  so i resorted to using a fallback mechanism of trying both invariant and current cultures for float parsing.  <!-- describe how you validated the behavior. add automated tests wherever possible  but list manual validation steps taken as well --> ## validation steps performed tested manually by setting computer language e.g. to finnish (comma as decimal separator) and regression tested with en-us as computer culture  as well as finnish with forced period as decimal separator.
488,1,1,0,0,0,1,0,1,1,1,1,1,1,fix editor cli parsing if comma is decimal sep in locale <!-- enter a brief description/summary of your pr here what does it fix/what does it change/how was it tested (even manually if necessary)? -->fix fancyzoneseditor cli parsing of dpi on locales with comma as decimal separator<!-- other than the issue solved is this relevant to any other issues/existing prs? --> related existing issue #449<!-- provide a more detailed description of the pr other things fixed or any additional comments/features here -->although the cli should be constructed with c locale (c/c++ invariant in c#) by the fancyzones application i wasnt completely certain about that so i resorted to using a fallback mechanism of trying both invariant and current cultures for float parsing<!-- describe how you validated the behavior add automated tests wherever possible but list manual validation steps taken as well -->## validation steps performedtested manually by setting computer language eg to finnish (comma as decimal separator) and regression tested with en-us as computer culture as well as finnish with forced period as decimal separator  fix editor cli parsing if comma is decimal sep in locale   <!-- enter a brief description/summary of your pr here. what does it fix/what does it change/how was it tested (even manually  if necessary)? --> fix fancyzoneseditor cli parsing of dpi on locales with comma as decimal separator. <!-- other than the issue solved  is this relevant to any other issues/existing prs? -->  related existing issue #449  <!-- provide a more detailed description of the pr  other things fixed or any additional comments/features here --> although the cli should be constructed with c locale (c/c++  invariant in c#) by the fancyzones application  i wasn t completely certain about that  so i resorted to using a fallback mechanism of trying both invariant and current cultures for float parsing.  <!-- describe how you validated the behavior. add automated tests wherever possible  but list manual validation steps taken as well --> ## validation steps performed tested manually by setting computer language e.g. to finnish (comma as decimal separator) and regression tested with en-us as computer culture  as well as finnish with forced period as decimal separator.
488,1,0,0,0,0,1,0,1,0,1,1,0,1,fix editor cli parsing if comma is decimal sep in locale <!-- enter a brief description/summary of your pr here what does it fix/what does it change/how was it tested (even manually if necessary)? -->fix fancyzoneseditor cli parsing of dpi on locales with comma as decimal separator<!-- other than the issue solved is this relevant to any other issues/existing prs? --> related existing issue #449<!-- provide a more detailed description of the pr other things fixed or any additional comments/features here -->although the cli should be constructed with c locale (c/c++ invariant in c#) by the fancyzones application i wasnt completely certain about that so i resorted to using a fallback mechanism of trying both invariant and current cultures for float parsing<!-- describe how you validated the behavior add automated tests wherever possible but list manual validation steps taken as well -->## validation steps performedtested manually by setting computer language eg to finnish (comma as decimal separator) and regression tested with en-us as computer culture as well as finnish with forced period as decimal separator  fix editor cli parsing if comma is decimal sep in locale   <!-- enter a brief description/summary of your pr here. what does it fix/what does it change/how was it tested (even manually  if necessary)? --> fix fancyzoneseditor cli parsing of dpi on locales with comma as decimal separator. <!-- other than the issue solved  is this relevant to any other issues/existing prs? -->  related existing issue #449  <!-- provide a more detailed description of the pr  other things fixed or any additional comments/features here --> although the cli should be constructed with c locale (c/c++  invariant in c#) by the fancyzones application  i wasn t completely certain about that  so i resorted to using a fallback mechanism of trying both invariant and current cultures for float parsing.  <!-- describe how you validated the behavior. add automated tests wherever possible  but list manual validation steps taken as well --> ## validation steps performed tested manually by setting computer language e.g. to finnish (comma as decimal separator) and regression tested with en-us as computer culture  as well as finnish with forced period as decimal separator.
510,0,0,0,0,0,1,0,0,0,0,0,0,0,fixes for zone resize <!-- enter a brief description/summary of your pr here what does it fix/what does it change/how was it tested (even manually if necessary)? -->## summary of the pull requestresizing zones was not working in some cases<!-- please review the items on the pr checklist before submitting-->## pr checklist* [x] closes #257 #409 #427 <!-- provide a more detailed description of the pr other things fixed or any additional comments/features here -->## detailed description of the pull request / additional commentsthe logic used by `move()` works only for dragging the entire zone but it fails when dragging a top/left edge if the right/bottom edge is on the working area edgeit was also causing the zone to drift right/bottom when resized to its minimum width/heighti split the methods to simplify the logic: - `move()` is used only to move the zone - `sizemove()` (fell free to suggest a better name) is used when dragging the left/top edge - `size()` is used when dragging the right/bottom edge also set `c_minzonewidth` to 64 and `c_minzoneheight` to 72 to reflect the actual minimum dimensions<!-- describe how you validated the behavior add automated tests wherever possible but list manual validation steps taken as well -->## validation steps performedmanual test  fixes for zone resize   <!-- enter a brief description/summary of your pr here. what does it fix/what does it change/how was it tested (even manually  if necessary)? --> ## summary of the pull request resizing zones was not working in some cases.  <!-- please review the items on the pr checklist before submitting--> ## pr checklist * [x] closes #257 #409 #427   <!-- provide a more detailed description of the pr  other things fixed or any additional comments/features here --> ## detailed description of the pull request / additional comments the logic used by  move()  works only for dragging the entire zone but it fails when dragging a top/left edge if the right/bottom edge is on the working area edge. it was also causing the zone to drift right/bottom when resized to it s minimum width/height. i split the methods to simplify the logic:  -  move()  is used only to move the zone.  -  sizemove()  (fell free to suggest a better name) is used when dragging the left/top edge.  -  size()  is used when dragging the right/bottom edge.   also set  c_minzonewidth  to 64 and  c_minzoneheight  to 72 to reflect the actual minimum dimensions. <!-- describe how you validated the behavior. add automated tests wherever possible  but list manual validation steps taken as well --> ## validation steps performed manual test.
510,1,1,0,1,0,1,0,1,0,1,1,1,1,fixes for zone resize <!-- enter a brief description/summary of your pr here what does it fix/what does it change/how was it tested (even manually if necessary)? -->## summary of the pull requestresizing zones was not working in some cases<!-- please review the items on the pr checklist before submitting-->## pr checklist* [x] closes #257 #409 #427 <!-- provide a more detailed description of the pr other things fixed or any additional comments/features here -->## detailed description of the pull request / additional commentsthe logic used by `move()` works only for dragging the entire zone but it fails when dragging a top/left edge if the right/bottom edge is on the working area edgeit was also causing the zone to drift right/bottom when resized to its minimum width/heighti split the methods to simplify the logic: - `move()` is used only to move the zone - `sizemove()` (fell free to suggest a better name) is used when dragging the left/top edge - `size()` is used when dragging the right/bottom edge also set `c_minzonewidth` to 64 and `c_minzoneheight` to 72 to reflect the actual minimum dimensions<!-- describe how you validated the behavior add automated tests wherever possible but list manual validation steps taken as well -->## validation steps performedmanual test  fixes for zone resize   <!-- enter a brief description/summary of your pr here. what does it fix/what does it change/how was it tested (even manually  if necessary)? --> ## summary of the pull request resizing zones was not working in some cases.  <!-- please review the items on the pr checklist before submitting--> ## pr checklist * [x] closes #257 #409 #427   <!-- provide a more detailed description of the pr  other things fixed or any additional comments/features here --> ## detailed description of the pull request / additional comments the logic used by  move()  works only for dragging the entire zone but it fails when dragging a top/left edge if the right/bottom edge is on the working area edge. it was also causing the zone to drift right/bottom when resized to it s minimum width/height. i split the methods to simplify the logic:  -  move()  is used only to move the zone.  -  sizemove()  (fell free to suggest a better name) is used when dragging the left/top edge.  -  size()  is used when dragging the right/bottom edge.   also set  c_minzonewidth  to 64 and  c_minzoneheight  to 72 to reflect the actual minimum dimensions. <!-- describe how you validated the behavior. add automated tests wherever possible  but list manual validation steps taken as well --> ## validation steps performed manual test.
510,1,0,0,1,0,1,0,0,0,1,1,0,1,fixes for zone resize <!-- enter a brief description/summary of your pr here what does it fix/what does it change/how was it tested (even manually if necessary)? -->## summary of the pull requestresizing zones was not working in some cases<!-- please review the items on the pr checklist before submitting-->## pr checklist* [x] closes #257 #409 #427 <!-- provide a more detailed description of the pr other things fixed or any additional comments/features here -->## detailed description of the pull request / additional commentsthe logic used by `move()` works only for dragging the entire zone but it fails when dragging a top/left edge if the right/bottom edge is on the working area edgeit was also causing the zone to drift right/bottom when resized to its minimum width/heighti split the methods to simplify the logic: - `move()` is used only to move the zone - `sizemove()` (fell free to suggest a better name) is used when dragging the left/top edge - `size()` is used when dragging the right/bottom edge also set `c_minzonewidth` to 64 and `c_minzoneheight` to 72 to reflect the actual minimum dimensions<!-- describe how you validated the behavior add automated tests wherever possible but list manual validation steps taken as well -->## validation steps performedmanual test  fixes for zone resize   <!-- enter a brief description/summary of your pr here. what does it fix/what does it change/how was it tested (even manually  if necessary)? --> ## summary of the pull request resizing zones was not working in some cases.  <!-- please review the items on the pr checklist before submitting--> ## pr checklist * [x] closes #257 #409 #427   <!-- provide a more detailed description of the pr  other things fixed or any additional comments/features here --> ## detailed description of the pull request / additional comments the logic used by  move()  works only for dragging the entire zone but it fails when dragging a top/left edge if the right/bottom edge is on the working area edge. it was also causing the zone to drift right/bottom when resized to it s minimum width/height. i split the methods to simplify the logic:  -  move()  is used only to move the zone.  -  sizemove()  (fell free to suggest a better name) is used when dragging the left/top edge.  -  size()  is used when dragging the right/bottom edge.   also set  c_minzonewidth  to 64 and  c_minzoneheight  to 72 to reflect the actual minimum dimensions. <!-- describe how you validated the behavior. add automated tests wherever possible  but list manual validation steps taken as well --> ## validation steps performed manual test.
510,0,0,0,0,0,1,0,0,0,0,0,0,0,fixes for zone resize <!-- enter a brief description/summary of your pr here what does it fix/what does it change/how was it tested (even manually if necessary)? -->## summary of the pull requestresizing zones was not working in some cases<!-- please review the items on the pr checklist before submitting-->## pr checklist* [x] closes #257 #409 #427 <!-- provide a more detailed description of the pr other things fixed or any additional comments/features here -->## detailed description of the pull request / additional commentsthe logic used by `move()` works only for dragging the entire zone but it fails when dragging a top/left edge if the right/bottom edge is on the working area edgeit was also causing the zone to drift right/bottom when resized to its minimum width/heighti split the methods to simplify the logic: - `move()` is used only to move the zone - `sizemove()` (fell free to suggest a better name) is used when dragging the left/top edge - `size()` is used when dragging the right/bottom edge also set `c_minzonewidth` to 64 and `c_minzoneheight` to 72 to reflect the actual minimum dimensions<!-- describe how you validated the behavior add automated tests wherever possible but list manual validation steps taken as well -->## validation steps performedmanual test  fixes for zone resize   <!-- enter a brief description/summary of your pr here. what does it fix/what does it change/how was it tested (even manually  if necessary)? --> ## summary of the pull request resizing zones was not working in some cases.  <!-- please review the items on the pr checklist before submitting--> ## pr checklist * [x] closes #257 #409 #427   <!-- provide a more detailed description of the pr  other things fixed or any additional comments/features here --> ## detailed description of the pull request / additional comments the logic used by  move()  works only for dragging the entire zone but it fails when dragging a top/left edge if the right/bottom edge is on the working area edge. it was also causing the zone to drift right/bottom when resized to it s minimum width/height. i split the methods to simplify the logic:  -  move()  is used only to move the zone.  -  sizemove()  (fell free to suggest a better name) is used when dragging the left/top edge.  -  size()  is used when dragging the right/bottom edge.   also set  c_minzonewidth  to 64 and  c_minzoneheight  to 72 to reflect the actual minimum dimensions. <!-- describe how you validated the behavior. add automated tests wherever possible  but list manual validation steps taken as well --> ## validation steps performed manual test.
510,1,1,0,1,0,1,0,1,0,1,1,1,1,fixes for zone resize <!-- enter a brief description/summary of your pr here what does it fix/what does it change/how was it tested (even manually if necessary)? -->## summary of the pull requestresizing zones was not working in some cases<!-- please review the items on the pr checklist before submitting-->## pr checklist* [x] closes #257 #409 #427 <!-- provide a more detailed description of the pr other things fixed or any additional comments/features here -->## detailed description of the pull request / additional commentsthe logic used by `move()` works only for dragging the entire zone but it fails when dragging a top/left edge if the right/bottom edge is on the working area edgeit was also causing the zone to drift right/bottom when resized to its minimum width/heighti split the methods to simplify the logic: - `move()` is used only to move the zone - `sizemove()` (fell free to suggest a better name) is used when dragging the left/top edge - `size()` is used when dragging the right/bottom edge also set `c_minzonewidth` to 64 and `c_minzoneheight` to 72 to reflect the actual minimum dimensions<!-- describe how you validated the behavior add automated tests wherever possible but list manual validation steps taken as well -->## validation steps performedmanual test  fixes for zone resize   <!-- enter a brief description/summary of your pr here. what does it fix/what does it change/how was it tested (even manually  if necessary)? --> ## summary of the pull request resizing zones was not working in some cases.  <!-- please review the items on the pr checklist before submitting--> ## pr checklist * [x] closes #257 #409 #427   <!-- provide a more detailed description of the pr  other things fixed or any additional comments/features here --> ## detailed description of the pull request / additional comments the logic used by  move()  works only for dragging the entire zone but it fails when dragging a top/left edge if the right/bottom edge is on the working area edge. it was also causing the zone to drift right/bottom when resized to it s minimum width/height. i split the methods to simplify the logic:  -  move()  is used only to move the zone.  -  sizemove()  (fell free to suggest a better name) is used when dragging the left/top edge.  -  size()  is used when dragging the right/bottom edge.   also set  c_minzonewidth  to 64 and  c_minzoneheight  to 72 to reflect the actual minimum dimensions. <!-- describe how you validated the behavior. add automated tests wherever possible  but list manual validation steps taken as well --> ## validation steps performed manual test.
510,0,0,0,0,0,0,0,0,0,0,0,0,0,fixes for zone resize <!-- enter a brief description/summary of your pr here what does it fix/what does it change/how was it tested (even manually if necessary)? -->## summary of the pull requestresizing zones was not working in some cases<!-- please review the items on the pr checklist before submitting-->## pr checklist* [x] closes #257 #409 #427 <!-- provide a more detailed description of the pr other things fixed or any additional comments/features here -->## detailed description of the pull request / additional commentsthe logic used by `move()` works only for dragging the entire zone but it fails when dragging a top/left edge if the right/bottom edge is on the working area edgeit was also causing the zone to drift right/bottom when resized to its minimum width/heighti split the methods to simplify the logic: - `move()` is used only to move the zone - `sizemove()` (fell free to suggest a better name) is used when dragging the left/top edge - `size()` is used when dragging the right/bottom edge also set `c_minzonewidth` to 64 and `c_minzoneheight` to 72 to reflect the actual minimum dimensions<!-- describe how you validated the behavior add automated tests wherever possible but list manual validation steps taken as well -->## validation steps performedmanual test  fixes for zone resize   <!-- enter a brief description/summary of your pr here. what does it fix/what does it change/how was it tested (even manually  if necessary)? --> ## summary of the pull request resizing zones was not working in some cases.  <!-- please review the items on the pr checklist before submitting--> ## pr checklist * [x] closes #257 #409 #427   <!-- provide a more detailed description of the pr  other things fixed or any additional comments/features here --> ## detailed description of the pull request / additional comments the logic used by  move()  works only for dragging the entire zone but it fails when dragging a top/left edge if the right/bottom edge is on the working area edge. it was also causing the zone to drift right/bottom when resized to it s minimum width/height. i split the methods to simplify the logic:  -  move()  is used only to move the zone.  -  sizemove()  (fell free to suggest a better name) is used when dragging the left/top edge.  -  size()  is used when dragging the right/bottom edge.   also set  c_minzonewidth  to 64 and  c_minzoneheight  to 72 to reflect the actual minimum dimensions. <!-- describe how you validated the behavior. add automated tests wherever possible  but list manual validation steps taken as well --> ## validation steps performed manual test.
510,0,0,0,0,0,1,0,0,0,0,0,0,0,fixes for zone resize <!-- enter a brief description/summary of your pr here what does it fix/what does it change/how was it tested (even manually if necessary)? -->## summary of the pull requestresizing zones was not working in some cases<!-- please review the items on the pr checklist before submitting-->## pr checklist* [x] closes #257 #409 #427 <!-- provide a more detailed description of the pr other things fixed or any additional comments/features here -->## detailed description of the pull request / additional commentsthe logic used by `move()` works only for dragging the entire zone but it fails when dragging a top/left edge if the right/bottom edge is on the working area edgeit was also causing the zone to drift right/bottom when resized to its minimum width/heighti split the methods to simplify the logic: - `move()` is used only to move the zone - `sizemove()` (fell free to suggest a better name) is used when dragging the left/top edge - `size()` is used when dragging the right/bottom edge also set `c_minzonewidth` to 64 and `c_minzoneheight` to 72 to reflect the actual minimum dimensions<!-- describe how you validated the behavior add automated tests wherever possible but list manual validation steps taken as well -->## validation steps performedmanual test  fixes for zone resize   <!-- enter a brief description/summary of your pr here. what does it fix/what does it change/how was it tested (even manually  if necessary)? --> ## summary of the pull request resizing zones was not working in some cases.  <!-- please review the items on the pr checklist before submitting--> ## pr checklist * [x] closes #257 #409 #427   <!-- provide a more detailed description of the pr  other things fixed or any additional comments/features here --> ## detailed description of the pull request / additional comments the logic used by  move()  works only for dragging the entire zone but it fails when dragging a top/left edge if the right/bottom edge is on the working area edge. it was also causing the zone to drift right/bottom when resized to it s minimum width/height. i split the methods to simplify the logic:  -  move()  is used only to move the zone.  -  sizemove()  (fell free to suggest a better name) is used when dragging the left/top edge.  -  size()  is used when dragging the right/bottom edge.   also set  c_minzonewidth  to 64 and  c_minzoneheight  to 72 to reflect the actual minimum dimensions. <!-- describe how you validated the behavior. add automated tests wherever possible  but list manual validation steps taken as well --> ## validation steps performed manual test.
