Util,Network,DB,Interpreter,i18n,Logic,Test,IO,UI,Security,corpus
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,fix tostring of nonserializablememoizingsupplier ee cdd c f e ead c e a use splitter instead of stringsplit in internetdomainnamee f aa d b eed f d c af c ec use splitter for ipv too this eliminates usage of javautilregex from this file which is used via stringsplit otherwise a a de ef eea f a cbbce e e fccce use diamond eb c a d edbf edcca cd cd automated rollback of a ef b b fe c e db a a f eit looks like the original change can cause an infinite loop in localcacheloadingvaluereferenceget c a ff c f d b b fe dont enable use of unsafegetlong on aarch devicesandroid devices may report to run aarch while running in bit mode and thencrash when loading bit values at unaligned addresses bbcf cf cfae ddf e f d da e
1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,check the array indexes in quantilesscaleandindexes is non empty fixes a ddaa d b e ed bb e be ee simplify some codefixes e def a a d aef a e f document the jdk alternative to iteratorsforenumeration fixes e be b c f abb c f ab d f d add a mime type mpeg dash mpd files fixes relnotes net added the mediatype constant for mpeg dash ccf c be b ec f ef e fix the logic that decides whether to use currentrequestthreadfactory under app enginewhile there also support thread renaming under app enginefixes to the cl in which i experimented with before backing it out bd b c f e b f e a c
1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,add test case stable incidentedgeorder with a self loop to abstractstandard un directedgraphtestaee a c bbfecced f c d a add test for stable incidentedgeorder support for mutable undirected valuegraphs in valuegraphtest aba dd e e fcd e b fa e e fix off by one error in asciidigitsasciidigits initialization b d f e ae d e ce a disable gwt rpc by default in the open source releaserelnotes guava types can no longer be sent over gwt rpc to _temporarily_ reenable support set the guavagwtemergency_reenable_rpc system property to true ff cd f d e fb d e d da af f
1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,add awaitterminationuninterruptibly fixes somewhat relevant to relevant to since it creates a checkreturnvalue variant of a javautilconcurrent method that returns false to indicate timeoutrelnotes utilconcurrent added awaitterminationuninterruptibly ec b a b ea bd c f ec c db
1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,make closingfuture available in open source guava beta relnotes utilconcurrent add closingfuture e dee f d e f a fix typos and remove unnecessary words c b bde a cd f af d b e e bump checker qual from to for unfortunate reasons involving internal legacy infrastructure this is easier than merging but at least it gets us on the newest major version that makes it easier to see that its safe to resolve a conflict between say and by just using the newer onea ad ee fa fcc edc f e c ddd b d remove spurious annotation to fix travis buildf d c c c dcd e ace f
1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,fix assertionerror from rangegap a f a f c cf a cd f efdd fix random typos in guavafixes d be bbe a a aeb aa eaa add back webapp to public suffix listd e c c e a b c ea b ce e b d externally restore donotmock to closingfuturecombiner and externally add donotmock to closingfuture itselfthis implements an alternative workaround for replacing the one submitted in cl b c f e cfb cd cfd fb a dbe
1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,fix assertionerror from rangegap a f a f c cf a cd f efdd fix random typos in guavafixes d be bbe a a aeb aa eaa add back webapp to public suffix listd e c c e a b c ea b ce e b d externally restore donotmock to closingfuturecombiner and externally add donotmock to closingfuture itselfthis implements an alternative workaround for replacing the one submitted in cl b c f e cfb cd cfd fb a dbe
1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,clarify hashmultimap docs about concurrencycloses e b b b c ea bf df eb f removed all references to now useless workaroundfixes fixes da c cf eb e fe f ee
1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,clarify how to use iteratortester when using iteratortester intellij idea automatically imports abstractiteratortesterknownorder however abstractiteratortester is private and it is not obvious that one was meant to import iteratortesterknownorder instead therefore this commit updates thejavadoc to give an example of how to use the api properly c e a b a bc fda d add a bunch of warnings to executionsequencersee discussion on cl b dfb ebeff ac d f a ccfce a eac
1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,remove redundant else blocks remove redundant else blocks relnotesn a
