Util,NLP,APM,Network,DB,Interpreter,Error Handling,Logging,Lang,Data Structure,DevOps,i18n,Setup,Logic,Microservices,ML,Test,Search,IO,UI,Parser,Security,Cloud,Big Data,Event Handling,App,GIS,corpus
1,0,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,move type annot immedi type applyto relnotesn efbda c bfdb e b there good news bad news good news everyon need sign cla pull request submitt commit author done everyth good bad news appear commit author co author someon pull request submitt need confirm author ok commit contribut project pleas confirm pull request note project maintain termin state mean cla googl commit status chang state confirm consent commit author merg pull request appropri cla efbda c bfdb e b sign in
1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,add report header remov unus import warn f ca ead cf ddae cc reformat googl java formatrelnotesn b e b f fdb b add miss overrid annot b ca c baddcf ea f b document retent listen ad guava implement listenablefuturerelnotesdocu retent listen ad guava implement listenablefutur f e b eb daf aaaf f fd reformat googl java formatrelnotesn cff bc b c e c name method paramet unus immutablesortedsetreadobject objectinputstream static analysi doesnt complain c e b e af b b remov beta api collect collector asid bloomfilt immutablerang whole class beta though remov redund beta annot collector return method clariti map asconvert immutableenummap multimapbuild stream stream iter concatio bytestream copi tobytearray charstream copi tostr file charbyt sourcesink utilconcurr futur addcallback getdon getuncheck immediatecancelledfutur immediatefailedfutur immediatefutur listeningscheduledexecutorservic uninterruptiblesoth htmlescap splittersplittolist tickerfix asid immutablerang whole class beta anyway address main concern doesnt cover broader requestfix address beta number frequent use api cb cc ed e df b b df f add known utf hash valu murmur test utf compar platform reli java intern encoding ec bcf de ac dddd fb remov canignorereturnvalu orderingsortedcopi immutablesortedcopi relnotesremov canignorereturnvalu orderingsortedcopi immutablesortedcopi da f c b e f c e f make constructor privat im look enummap stuff reason got wonder use outsid file nope b ce c ff fac b b ab af e delet wellbehavedmapth bug work around java dont believ ever present android havent look absolut first version ever gwt still old gwt file doesnt bug eitherdelet class simplifi work im around enummap usag j cl c c ab c c fb aa bf intern gwt chang ade c e c c b f autom rollback commit ade c e c c b f origin chang descript intern gwt chang f b b b fe ac b bad use j objc retainedwith annot instead weak immutablemapkeysetto prevent crash iostestedcr map insid autoreleas pool save refer thekeyset check keyset function correct outsid autoreleasepool check keyset map dealloc theautoreleas pool hold refer keyset test withboth immutablemapof immutablebimapof relnotesj objc fix crash use immutablemapkeyset c acb ed eef annot checknotnul input output nonnullw dont want go road annot thing nonnul eventu want use tool assum that default pretti weird checknotnul return nullabl valu mind tool let annot method see goesrelnotesannot checknotnul input output nonnul b e b da ec ffd document jdk altern mapsimmutableentri fix f abd b bf b f fdaa ceb modern book refer eafed e bb b e ef creat constant sourcemap headernon test like header name requir workaroundsrelnotesadd sourcemap header intern gwt changedb ada b f db b de ec ca e ab b use j objc retainedwith annot instead weak immutablemapvaluesto prevent crash iostestedcr map insid autoreleas pool save refer thevalu collect check valu collect function correctlyoutsid autoreleas pool check valu collect themap dealloc autoreleas pool hold strong referenceto valu collect test immutablemapof andimmutablemapcopyof relnotesj objc fix crash use immutablemapvalu ac f c b aab b f cb fix javadoc breakag jdk canari remov gwt emul longer need gwt relnotesremov gwt emul longer need gwt mean gwt project use version guava must use gwt higherb df cb de c f dbbff annot checknotnul input output nonnullhi curious motiv behind decis well behind part decis total agre pretti weird checknotnul return nullabl valu mind tool favor checknotnul return non null valueim unclear input consid nonnul instead nullabl mayb im misus use checknotnul fluent assert express compil cant infer nullabl know nonnul use ideal signatur would java canignorereturnvalu nonnullpubl static checknotnul nullabl ref
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,linksth comparison android hash class havent accur sinc least cl ive remov entir dc b fa baa acf e abef migrat assertthat foo name foo assertwithmessag foo foo exact chang slight differ case like use custom subject check alway migrat name assert withmessag name removedthi cl slight modifi failur messag produc old inform still present f e c c f b bdcad c f f migrat samea sameinstanceasthey behav ident old name removedopen sourc note new method avail truth version c b fabf eeb fd c doc tweak caught jbduncan f b c c aeb b fb eab cf remov checkedfutur guavarelnotesremov deprec checkedfutur relat utilitiesca b e bad b c afbb b c migrat assertthat foo name foo assertwithmessag foo foo exact chang slight differ case like use custom subject check alway migrat name assert withmessag name removedthi cl slight modifi failur messag produc old inform still present f c e c f e cd c e
1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,check array index quantilesscaleandindex non empti fix ddaa b e ed bb e ee simplifi codefix e def aef e f document jdk altern iteratorsforenumer fix e b c f abb c f ab f add mime type mpeg dash mpd file fix relnot net ad mediatyp constant mpeg dash ccf c b ec f ef e fix logic decid whether use currentrequestthreadfactori app enginewhil support thread renam app enginefix cl experi back bd b c f e b f e c non googler contribut taken prs
1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,check array index quantilesscaleandindex non empti fix ddaa b e ed bb e ee simplifi codefix e def aef e f document jdk altern iteratorsforenumer fix e b c f abb c f ab f add mime type mpeg dash mpd file fix relnot net ad mediatyp constant mpeg dash ccf c b ec f ef e fix logic decid whether use currentrequestthreadfactori app enginewhil support thread renam app enginefix cl experi back bd b c f e b f e c non googler contribut taken prs
1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,add testlib readm b f e b e bde fd c aad chang quantil comput method multipl index return map entri order index provid call index fix quantil comput method return map return map entri order index provid ac c de f f f
1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,fix tostr except handl chang c fb cc b f b b f cathi ideal code fix restor previous function add test verifi except handl logic b dfbfc f b f bb e f f c handl stackoverflowerror pendingtostr appenduserobjectadd bunch test valid error handl tostr code verifi futur complet tostr call result done format string verifi except thrown pendingtostr doesnt caus tostr fail verifi cycl dont caus tostr fail verifi deep chain setfutur dont caus tostr failrelnotescatch stackoverflowerror abstractfuturetostr prevent long chain futur fail tostr call b e ba c f updat document bb fc ba da b b b
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0, doubl slice bytesourc fb b bc b bb c b af consent
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0, doubl slice bytesourc fb b bc b bb c b af consent
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0, add unit test base url baseencod e c e efb dd cc f
