Util,NLP,APM,Network,DB,Interpreter,Logging,DataStructure,i18n,DevOps,Logic,Microservices,Test,Search,IO,UI,Parser,Security,App,corpus
1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"bugfix for bug ""#880 pubmed import broken"" found bug: pubmed/medline plain format recognized as ris formatprovided solution:    - modified ris importfilter now ris format is identified by looking for the ""ty"" tag (it is a mandatory tag in ris format and it is not conflictual with other filters)    - added new importfilter ""medlineplain"" this import filter parses medline files in plain format (not xml) the import filter has been produced referring to the official medline documentation (http://wwwnlmnihgov/bsd/mms/medlineelementshtml)    - updated the netsfjabrefcore pluginxml file in order to include the newly added medlineplain import filter  "
1,0,0,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,"added special fields printed and read status added special fields printed and read status thereby implementing (at least partially):- feature #762 printed attribute- feature #692 marking of new entries and often read entries- feature #685 highlight new entries that were ""forgotten""- feature #602 could add the mark as read feature- feature #225 read? checkboxprinted is just a boolean toggle and for the read field currently the values skimmed and read are possible (if you have any suggestions for further possibilities im happy to implement them) the icons are taken from http://wwwsofticonscom/system-icons/crystal-project-icons-by-everaldo-coelho and should probably be replaced with icons from the same collection as the other currently used ones this feature is availale on jabref 210?what should i do to get them? || no it is not in 210 but in the current development version so you have to wait until 211 comes out or build the current version yourself how to do the latter is described here: https://githubcom/jabref/jabref#building-jabref-from-source || thank you very muchim could not install gradle on my laptop (ubuntu 1404)looking forward to the 211 release ||"
1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,"added special fields printed and read status added special fields printed and read status thereby implementing (at least partially):- feature #762 printed attribute- feature #692 marking of new entries and often read entries- feature #685 highlight new entries that were ""forgotten""- feature #602 could add the mark as read feature- feature #225 read? checkboxprinted is just a boolean toggle and for the read field currently the values skimmed and read are possible (if you have any suggestions for further possibilities im happy to implement them) the icons are taken from http://wwwsofticonscom/system-icons/crystal-project-icons-by-everaldo-coelho and should probably be replaced with icons from the same collection as the other currently used ones this feature is availale on jabref 210?what should i do to get them? || no it is not in 210 but in the current development version so you have to wait until 211 comes out or build the current version yourself how to do the latter is described here: https://githubcom/jabref/jabref#building-jabref-from-source || thank you very muchim could not install gradle on my laptop (ubuntu 1404)looking forward to the 211 release ||"
1,0,0,1,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0,"added special fields printed and read status added special fields printed and read status thereby implementing (at least partially):- feature #762 printed attribute- feature #692 marking of new entries and often read entries- feature #685 highlight new entries that were ""forgotten""- feature #602 could add the mark as read feature- feature #225 read? checkboxprinted is just a boolean toggle and for the read field currently the values skimmed and read are possible (if you have any suggestions for further possibilities im happy to implement them) the icons are taken from http://wwwsofticonscom/system-icons/crystal-project-icons-by-everaldo-coelho and should probably be replaced with icons from the same collection as the other currently used ones this feature is availale on jabref 210?what should i do to get them? || no it is not in 210 but in the current development version so you have to wait until 211 comes out or build the current version yourself how to do the latter is described here: https://githubcom/jabref/jabref#building-jabref-from-source || thank you very muchim could not install gradle on my laptop (ubuntu 1404)looking forward to the 211 release ||"
1,0,0,1,0,1,1,0,1,0,1,1,0,0,1,1,0,0,1,"fix sf bug #1285 restores the cursor resp ""caret"" position when a field is store during editingthis fixes [sfnet bug #1285](http://sourceforgenet/p/jabref/bugs/1285/)to be done: - backport to dev_211- ask for confirmation on sfnet and close the issue there why does it lose focus anyway? this makes no sense to me saving should be a background process triggered by a key event || i think a backport to dev_211 is not necessary@stefan-kolb i agree very strange that the focus is changed ||  debugging this code is hell! :scream:the new fix fixes the problem where it is caused: method `updatefield` in `entryeditortab` re-sets the textfield which causes a loss of the current caret position || this looks way better and easier to maintain :blush: ||"
1,0,0,1,0,1,1,1,0,0,1,0,1,0,1,1,0,1,0,"doaj search search for directory of open access journals quite functional but the remaining things should (probably) be done- [x] ~~help page~~- [x] decide on where the bibjsonconverter class should be positioned (input?)- [x] more fields? ~~issn?~~- [x] ~~better/more error checking~~- [x] ~~handle search results with more than 100 entries properly~~- [x] ~~fill empty methods in doajfetcher~~- [x] ~~update status bar~~- [x] add test for bibjsonconverter- [x] ~~enable stopping search~~implements what is discussed in #208 i think im done there :-) || looks good to me  || one minor thing: the current title is ""doaj (directory of open source journals)"" which is much longer than the rest of the fetcher titles this introduces horizontal scrollbars in the fetcher sidebar when using the default width:![doaj-screenshot](https://cloudgithubusercontentcom/assets/676652/11044339/8ff615a2-8721-11e5-9a67-f2b1ca610747png)apart from this ""ready to go"" from my side too || there is no such property like [text-overflow](http://wwww3schoolscom/cssref/css3_pr_text-overflowasp) in swing is it? :star2:  || i think java actually does snip too long texts - if the component has a fixed size so this does not help hereill merge the current state but a potential improvement would be to define tooltips for the combobox to show some hints what the various abbreviations actually mean || "
1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,fix #328: added more and better information with unsaved database ![capturedialog](https://cloudgithubusercontentcom/assets/8114497/11130895/e1dd1e66-8987-11e5-85f3-e268a193c68epng)(in this case it was a new database otherwise the full path is shown) @oscargus tooltip for screenshots: [grabndrop](http://wwwscyvde/gnd/) ||
0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,fix similar bug as #420 for the database properties dialog a similar bug as #420 happened when the encoding was changed in the database properties dialog this is now fixed in this pr sorry for introducing these bugs in the first place thanks for the fixup pr  ||
1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,fix similar bug as #420 for the database properties dialog a similar bug as #420 happened when the encoding was changed in the database properties dialog this is now fixed in this pr sorry for introducing these bugs in the first place thanks for the fixup pr  ||
1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,fix similar bug as #420 for the database properties dialog a similar bug as #420 happened when the encoding was changed in the database properties dialog this is now fixed in this pr sorry for introducing these bugs in the first place thanks for the fixup pr  ||
1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,cleanup tests and latexformatter instead of #427 (easier to start all over as some files were already moved)  
1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,cleanup tests and latexformatter instead of #427 (easier to start all over as some files were already moved)  
1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,1,0,0,cleanup tests and latexformatter instead of #427 (easier to start all over as some files were already moved)  
