Util,Network,Interpreter,i18n,Logic,Test,IO,Security,corpus
1,0,0,1,1,1,0,0,make propertyandsetterinjection field sorting consistent is caused by calling collectionssort with a comparator that isnt always transitive as in the case where sorting by name and sorting by type hierarchy imply different ordersfor example with fields of type iterable integer number it gives iterable integer and iterable number but also an inconsistent integer at least one commit message in the pr contains fixes idand suggest a template commit message clean commit historyyou could make the history rewriting explicit here something like we prefer a clean commit history rebased and squashed if necessary so that each commit clearly changes one things and there are no extraneous fix upsthanks for the feedback everything else seemed specific enough that a review was the only way to pick it up josephw ok thanks for the feedback too
1,0,0,0,1,1,0,0,argumentcaptorforclass is more friendly with generic types we modify the signature of argumentcaptorfromclass class to better express the type relationship between the argument and the return type there is no change to the behavior of the method this change is to allow expressions such as javaargumentcaptor captor argumentcaptorfromclass consumerclass to type check which is desirable as a convenience to users of argumentcaptor we also add two tests to document this extension to the api both of which fail to compile without this change to argumentcaptorfromclass these tests are unusual in that they make no assertions this is justified because the change which they test is a change to the formal or compile time properties of argumentcaptor not its behavior almost perfect pr maybe the contributing guide is missing something here but the exemple id should have been expended to the real gh issue number actually the commit message should be something like tweak generic signature of argumentcaptorfromclass ill merge it asap thanks for the pr by the way i updated the contributing guide with an exemple if youre unsure how to rename the commit bashgit commit amendgit push force the travis build is broken in some way your code is fine thanks for the change
1,1,0,1,1,1,1,0,constructor invoking methods raise npe in some recent version of mockito spy annotation will use the constructor rather than objenesis that mean that constructor carry actual work but since the interceptor set after instantiation this raised an npe with bytebuddy it wasnt an issue with cglib but it probably didnt event intercept such calls unconfirmed at this point this pr aims to fix that by calling real code if interceptor is not set which can only happen if constructorinstanciator is usedthanks to raphw for his tip on this regard as well https githubcom raphw byte buddy issues issuecomment i just saw that you chose to invoke the real method instead of returning a default value that might cause problems when the invoked method expects some state then again if the constructor is called the constructor might always receive correct input valuesi added another interceptor to make the field receival a bit more convenient and runtime efficient and if you wanted to aupress the calls from the constructor might be unsuitable for spies i think i also found a better alternative for thati just send you a pull request on monday yes for constructors that made sense when spy is instantiated with constructor though i agree with you other than this scenario it shouldnt be authorized i didnt yet wrap entirely my head around this yetim not yet sure how to ensure a bit more safety there
0,0,0,0,1,1,0,0,implement verificationcollector which can collect multiple verifications it will report in the end the result of multiple statements
0,0,0,1,1,1,1,0,vararg method call on mock object fails andreyrmg can you add your test too oh yes of course im sorry but only tomorrow added test for adding unit testscan you also add your defaultanswerdemo test case to the usage tests package orgmockitousagestubbing name proposal stubbingwithdelegatevarargstest sorry for delay i added usage test case and squash commits into oneand there is need to extend from testbase for calling help method orgmockitoutiltestbaseinvocationof javalangclass javalangstring javalangobject lgtm thanks for figuring this one out and adding an extensive test suite luckily an easy fix
1,1,0,0,1,1,0,0,inorder timeouts fixes issue updated code provided by in pr closes could you please add tests to make sure the code is correctly behavingalso you have some unrelated changes mostly imports reordering please remove those as well i should have some time to work on the code changes this weekend timvdlippe there was already a test there i just removed the ignore tag ill add one for the exception throwing behavior as well i also removed the import reordering my ide was trying to be super helpful jazzepi sounds great the codecov status has to pass before this can be merged after the current feedback has been processed i will take another look but i think so far it is looking good jazzepi could you rebase this pr and commit your changes i would like to merge this sooner rather than later timvdlippe i think it should all be in working ordering now ive been doing git force pushes to my branch no idea if thats the accepted style but github seems to be figuring out what im doing i just wish it were layering patchsets on like gerrit does christianschwarz i really puzzled over what you were looking for and could not understand how i could improve the code in the way youre describing id prefer this changeset get merged and then make whatever style changes you wanted yourself lgtm
0,0,0,1,0,1,1,0,add parameter elementtype to mock todo add a regression test to also show how this functionality can be used cc smoyer
0,0,0,1,1,1,0,0,deprecate whitebox and corresponding verboserunner and junitfailureha… a quick google showed that there are almost zero usages of this runner moreover it was relying on a very hackish implementation i think we can do a better job by creating a new runner with junit as part of therefore the intent is to deprecate these classes and remove them in mockito by private methods rebased and updated pull request with feedback ptal indeed the timeout test is picky especially with openjdk i restarted the job times verbose runner and console spamming runner are now both deprecated lets kill them in
1,0,0,0,1,1,0,0,refactored allinvocationsfinder and verifiableinvocationsfinder to static utility classes pascalschumacher these classes have only one public method they can be merged into verificationfinder findverified findall what do you think christianschwarz sure
1,0,0,0,1,0,0,0,missing generics info on collection matchers follow up on issue following this comment it tweaks the collection matchers with generic support it should have bee in abf
