Util,Network,i18n,Test,IO,corpus
1.0,0.0,0.0,0.0,1.0,as requested by samuelgruetter in
1.0,0.0,0.0,1.0,1.0,hi this pr implemented the rest overloads of timeout operator please take a look thanks
1.0,0.0,0.0,0.0,1.0,issue issue issue can be extended to plan plan and pattern pattern if action action is available not sure about the actionn version
1.0,0.0,0.0,0.0,1.0,issue sample will terminate if either the source or the sampler terminates or throws an error the sampler now emits values only in its onnext method therefore if the sampler completes and there is a sampled value available valuetaken false it wont emit the value before terminating
1.0,0.0,0.0,0.0,1.0,issue straightforward version of the regular count however i would have implemented it differently so the constant boxing unboxing could be avoided
1.0,0.0,0.0,0.0,1.0,rebased version without the drain scheduler variant fixes issue mentioned in as well
1.0,0.0,0.0,0.0,1.0,listed in
1.0,0.0,0.0,0.0,1.0,nstructing a compositeexception
1.0,0.0,0.0,0.0,1.0,also adds a unit test for regressionit appears there is a potential race condition if something adds to removes from the pq while its _inside_ the poll operation which is where the exceptions in seem to have actually come from therefore the initial null check didnt really address the original problem the test here seems to reliably recreate those conditionsi considered using a priorityblockingqueue instead of synchronized but since the isempty and poll calls should not allow something to interleave between them and access the queue a synchronized block seemed wiser here
1.0,0.0,0.0,1.0,1.0,as per discussion in
1.0,0.0,0.0,0.0,1.0,squashed commits of further optimizations to observeon using spscarrayqueue directly in observeon instead of ringbuffer to avoid the synchronization block split tracking structure to serial subscriptionlist and timed compositesubscription in eventloopsscheduler which improves the sequential scheduling performance because a completing tasks subscription will be most likely the first item in the underlying linkedlistbenchmark i window x java u x s warmup x s iteration benchmark size x x error this pr this errorobserveon observeon observeon observeon observeon observeon observeon observeon observeon observeon subscribeon subscribeon subscribeon subscribeon subscribeon subscribeon subscribeon subscribeon subscribeon subscribeon notes at size the throughput varies in a range on each run and since the changes dont touch the scalar optimization there is no real improvement there at size my system reached either the cache capacity or the os schedulers time resolution so there no improvement there on at size and size the throughput doubles if i introduce some extra delay ie via sleep or some extra work the benchmark generates a lot of garbage due to boxing switching to a constant emitter increases the throughput subscribeon from to since it conflicts with anyway this is pr is to let others verify the optimizations actually work on other oses because on my windows i sometimes get significant variance in the throughput during iterations increased iteration time may be required as well
1.0,0.0,1.0,1.0,1.0,this pr modifies the subject class to host the union of the state peeking methods of the various subject implementations and fixes the inconsistent behavior of replaysubjectgetvalues t the changes enable the serializedsubject to relay such state peeking method calls into the wrapped subject and allows future subject wrappers to do the same
1.0,0.0,0.0,1.0,1.0,closes
1.0,0.0,0.0,1.0,1.0,closes closes closes whoa issues at a time
1.0,0.0,0.0,0.0,1.0,add withlatestfrom operator version that can take to n other sources and combine them with the main sourcerelated
1.0,0.0,0.0,0.0,1.0,see
1.0,0.0,0.0,0.0,1.0,this pr rephrases the cache documentation a bit and adds workaround for stopping and forgetting the cached valuesrelated
1.0,0.0,0.0,0.0,1.0,as discussed in with akarnokd
1.0,0.0,0.0,1.0,1.0,closes although doesnt address the name of the class
1.0,0.0,0.0,1.0,1.0,closes closes
1.0,0.0,0.0,0.0,1.0,completable already used doondispose however i renamed the arguments to match observable and single
1.0,0.0,0.0,1.0,1.0,this will elementatorerror on an empty source just leaves the new single hanging without signalling onerror elementat on an empty source just leaves the maybe hanging without signalling oncomplete i also noticed that elementat with a default value on an empty source did not work either
1.0,0.0,0.0,1.0,1.0,this is the implementation of
1.0,0.0,0.0,0.0,1.0,uses the same test as the observable one
1.0,0.0,0.0,1.0,1.0,flowablegenerate and observablegenerate lacked the safeguards that were present in x this adds those and adds extra state cleanuprelated
1.0,0.0,0.0,1.0,1.0,this pr fixes the double termination of singletakeuntil publisher when the other fires an item and then completes while ignoring the cancellation in between trying to signal a cancellationexception again which is routed to the rxjavapluginsonerror and crashing on androidin addition the maybetakeuntil received a unit test verifying this doesnt also happen to itrelated
1.0,0.0,1.0,1.0,1.0,this pr adds the sequentialdelayerror operator to parallelflowable that allows awaiting all rails in a parallel flow to terminate normally or with the composite exception of the failed rail s to enable this the flowableparallel operators behavior regarding rail cancellation had to be changed in v if any of the rails cancelled maybe due to a failure maybe due to an end consumer cancelling the entire parallel flow the input flowable was cancelled this pr alters this by requiring all rails to cancel before cancelling the input flowable the change permits one or multiple rails to fail and let others progress in case the new sequentialdelayerror is applied as a terminal operator the original sequential operator still cancels all rails if one of them fails triggering the cancellation of the input flowable note that this change may still drop and never process elements in the internal queues of the operators in the parallel flow because the parallel processing is not implemented with work stealing that could pick up elements from a dead queue in order to get as many elements processed as possible it is recommended to reduce the default prefetch on the runon operator to a reasonable tradeoff value between throughput and fault tolerance edit updated the pr to make sure parallel ignores cancelled rails when it dispatches itemsrelated
