Util,Network,i18n,Test,IO,corpus
1.0,0.0,0.0,0.0,1.0,implemented sample operation now that operationinterval is in operationsample see was kind of straightforward i also added a unit test against sampling and allowed for specifying a scheduler used by the sample operation we want methods on observable dont we sure i just completely forgot about that ill add them
1.0,0.0,0.0,0.0,1.0,implemented synchronize with lock hii implemented to support that sending a lock to the synchronize operatori also found that there was a issue that testmultithreadedwithnpe and testmultithreadedwithnpeinmiddle might fail in some special situation when onerror is invoked before any onnext the last statement assertequals busyobservermaxconcurrentthreadsget in these methods will fail i also this issue in the pull request looks good thank you
1.0,0.0,0.0,0.0,1.0,implemented the ignoreelements operator hii implemented the ignoreelements operator please take a look thanks can you rebase this with the changes to master so it can be cleanly merged again with all the other changes this no longer cleanly mergesthank you zsxwing for this and all the other pull requests i really appreciate your involvement in the project i rebased the pull request now it should be able to merge to master directly looks good
1.0,0.0,0.0,1.0,1.0,added the rest overloads of timeout operator hi this pr implemented the rest overloads of timeout operator please take a look thanks due to pull request which touched virtually every file in the project can you please rebase this so it can merge cleanly again i have rebased it thank you zsxwing
1.0,0.0,0.0,0.0,1.0,operators and then when issue issue issue can be extended to plan plan and pattern pattern if action action is available not sure about the actionn version i dont understand i used the master havent touched groupby or the schedulers the build succeeds on my machine although with jdk now whatedit i found the logical error in operationgroupbytest assuming the thread will finish if it emits items is unreliable should that assertion be tested at all just another case of the operationgroupbytest test issue has not be yet that is an impressive contribution akarnokd i dont see any problems in my review the unit tests were essential to understanding and trusting this so thank you for being thoroughim going to merge this and leverage the fact that were still pre so that if there are any issues found we can still fix them even if we need to break a signature
1.0,0.0,0.0,0.0,1.0,operators tomap and tomultimap again issue and issue tomap overloadstomultimap overloadsadded groovy test to verify overloading ah this cant merge anymore because of other commits probably the join operator on your other pr can you rebase
1.0,0.0,0.0,0.0,1.0,mergemap with iterable and resultselector overloads listed in forgot an overload looks these operators can be implemented by composing the existing operators i agree there is likely some simplification we can do on this but im going to merge as the public apis look correct and unit tests are good we can iterate on the implementation internally
1.0,0.0,1.0,1.0,1.0,replaysubject leak fix for issue i can confirm this for me thanks akarnokd this might in fact be the final nail in the coffin for any workarounds we used on android to prevent activities from leaking this is great benjchristensen do you think we could get this in for that would be fantastic it would simplify reasoning about requirements for android operators a lot since the use of cache and replay is quite common on android and some design decisions for operatorobservefromandroidcomponent were made purely due to the existence of this bug no one actually thought to question the correctness of the underlying operator back then hah
1.0,0.0,0.0,0.0,1.0,add replay and multicast variants to rxscala this pr has some breaking changes change def multicast r t subject rxlangscalasubject r subscription observable r to def multicast r t subject rxlangscalasubject r connectableobservable r change def replay subscription observable t to def replay connectableobservable t remove observableapply int so its better to merge it at the next major release cc headinthebox samuelgruetter id like someone with better scala skills that me to review this please ill code review it later today but in principle these are simple fixes to bring the other variants of publish in sync with returning connectable observable looks good is this reviewed and ready to go it is conflicting against master so can you please rebase this is also conflicting against i would like to rebase it after is merged to master waiting until is already merged rxjava pull requests successthis pull request looks good should this wait until were ready to do i think this one can be merged since has already broken the api headinthebox samuelgruetter do you mind it go for it
1.0,0.0,1.0,0.0,1.0,more consistent hooks for scheduler plugins this is a rework of deprecated rxjavadefaultschedulers and rxjavadefaultschedulersdefault i think these names are confusing added rxjavaschedulershook ability to override entire schedulers from scratch ability to decorate action before submission to schedulerthe main change from is the decoration of action instead of runnable action is an improvement as all schedulers must handle these whereas not all schedulers handle runnables reviewed with benjchristensen and merging
1.0,0.0,0.0,0.0,1.0,make retrywhen the same with the scheduler as the retrywhen without the scheduler came up in
