Util,NLP,APM,Network,DB,Interpreter,Error.Handling,Logging,Lang,Data.Structure,DevOps,i18n,Setup,Logic,Microservices,Test,Search,IO,UI,Parser,Security,Big.Data,Event.Handling,App,Multimedia,corpus
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,   fixing warnings and enabling warnings as errors     5969*      (  *    *    *     if not checked im ready to accept this work might be rejected in favor of a different grand plan  : #    ?_   _ ?_    fixing warnings and enabling warnings as errors    5969 . if not  go over [here](    . if not checked  i m ready to accept this work might be rejected in favor of a different grand plan. : #   info on pull request  __     _?_
1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,   trouble summary rmca does not support the versioning of the existing pop for refill . detailed trouble description the refill po was created with the pop for the scaling factor for the refilling. the po was created successfully. now  i would like to change the same pop by creating a new version of the same po. when i try to create a new version  it does not allow me to change the scaling factor. attaching the screenshot to the tr. . workaround and recovery
1,0,0,1,0,0,0,1,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,    added telemetry base class to use in preview pane c# project and added telemetry events in preview pane       914     1 added telemetry event when markdown is previewed and if markdown preview has errors2 added error bar on top of preview window when preview fails    added telemetry base class to use in preview pane c# project and added telemetry events in preview pane.      914      1. added telemetry event when markdown is previewed and if markdown preview has errors. 2. added error bar on top of preview window when preview fails.
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,   warnings were being thrown for style cop related items     5295*      (  *    *    *     if not checked im ready to accept this work might be rejected in favor of a different grand plan  : #    ?_   _ ?_    warnings were being thrown for style cop related items.   pr checklist  *  5295 . if not  go over [here](    . if not checked  i m ready to accept this work might be rejected in favor of a different grand plan. : #   info on pull request  __     _?_
0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,4600sets text field on focus at the end of initialization by running the javafx thread-----  change in changelogmd described-  -  manually tested changed features in running jabref-   ()-  (   ( [helpjabreforg](https://githubcom/jabref/helpjabreforg/issues)?) 4600. sets text field on focus at the end of initialization by running the javafx thread.  ----  -   -   -  -   () -  ( -   ( []()?)
1,0,1,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,1,0,0,1,1,1,0,        ( (      because github does not support autolinking there -->use javafx binding instead of a listener to update the global state manager that seems to work more reliable and fixes a bunch of issues in particular 3142  and fixes #4441moreover i fixed an error that was thrown when interacting with the toolbar (missing open statement but we were using reflection)-----  change in changelogmd described-  -  manually tested changed features in running jabref-   ()-  (   ( [helpjabreforg](https://githubcom/jabref/helpjabreforg/issues)?)          ( (        use javafx binding instead of a listener to update the global state manager. that seems to work more reliable and fixes a bunch of issues. in particular  3142  and fixes #4441.  moreover  i fixed an error that was thrown when interacting with the toolbar (missing open statement but we were using reflection...).  ----  -   -   -  -   () -  ( -   ( []()?)
0,1,1,0,1,0,1,0,1,1,1,0,1,1,0,0,0,1,1,1,1,1,0,0,0,    this pr replaces the uwp search box with an equivalent wpf control to fix the initial focus issue       2365 *      (  *        1 manually validated that search box functionality remains similar to previously used uwp control2 manually validated that colors are toggled with change in system theme    this pr replaces the uwp search box with an equivalent wpf control to fix the initial focus issue.      2365  . if not  go over [here](       1. manually validated that search box functionality remains similar to previously used uwp control. 2. manually validated that colors are toggled with change in system theme.
0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2394-  change in changelogmd described-  -   ()-  manually tested changed features in running jabref-   ( [helpjabreforg](  if you changed the localization: did you run `gradle ate`? 2394.  -   -   -   () -  -   ( []( -  if you changed the localization: did you run  gradle ate ?
1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,   this pr introduces a new textblock-based control that can be used to highlight/bold eg shortcuts or important instructions inline with windows tipsparts of strings can be bolded by using the { and } tagseg:press {ctrl} to open this module > press  ctrl  to open this module![oobe]( @enricogior i went for the text-highlighting option putting in a shortcut visual was a bit complex when having shortcuts within the text string itself i kept that control (shortcutvisualcontrol) in if we want to use it later on   -       #10356-         -     **  -   ** **  -   ** **  -   ** **  -   ** **     -       -    (     -    (      (      this pr introduces a new textblock-based control that can be used to highlight/bold e.g. shortcuts or important instructions  inline with windows tips.  parts of strings can be bolded by using the { and } tags.  e.g.:  press {ctrl} to open this module => press ctrl to open this module   ![oobe](   @crutkas @enricogior i went for the text-highlighting option  putting in a shortcut visual was a bit complex when having shortcuts within the text string itself. i kept that control (shortcutvisualcontrol) in if we want to use it later on.     -   #10356 -   i ve discussed this with core contributors in the issue.  -  **  -  ****  -  ****  -  ****  -  ****     -      -  (     -  (     a cla must be signed. if not  go over [here]( .
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,      issue #857 its just one line of code         857 *      (  *    *    *     if not checked im ready to accept this work might be rejected in favor of a different grand plan      nothing too smart going on here    tested on scenarios where the previous version did not work now it works as one might expect      issue #857  it s just one line of code         857  . if not  go over [here](    . if not checked  i m ready to accept this work might be rejected in favor of a different grand plan.       nothing too smart going on here      tested on scenarios where the previous version did not work  now it works as one might expect.
